,hitObjectColliderName
0,Basketball_Court -3D
1,Bench_v1
2,Bench_v1 (1)
3,Bench_v1 (2)
4,Bench_v1 (3)
5,Bench_v1 (4)
6,Bench_v1 (5)
7,Bench_v1 (6)
8,Bench_v1 (7)
9,Bench_v1 (8)
10,Body
11,Broadleaf_Mobile
12,Broadleaf_Mobile (1)
13,Broadleaf_Mobile (10)
14,Broadleaf_Mobile (12)
15,Broadleaf_Mobile (13)
16,Broadleaf_Mobile (14)
17,Broadleaf_Mobile (180)
18,Broadleaf_Mobile (186)
19,Broadleaf_Mobile (189)
20,Broadleaf_Mobile (192)
21,Broadleaf_Mobile (2)
22,Broadleaf_Mobile (202)
23,Broadleaf_Mobile (206)
24,Broadleaf_Mobile (218)
25,Broadleaf_Mobile (223)
26,Broadleaf_Mobile (3)
27,Broadleaf_Mobile (32)
28,Broadleaf_Mobile (4)
29,Broadleaf_Mobile (49)
30,Broadleaf_Mobile (5)
31,Broadleaf_Mobile (53)
32,Broadleaf_Mobile (54)
33,Broadleaf_Mobile (55)
34,Broadleaf_Mobile (56)
35,Broadleaf_Mobile (6)
36,Broadleaf_Mobile (62)
37,Broadleaf_Mobile (7)
38,Broadleaf_Mobile (8)
39,Broadleaf_Mobile (9)
40,Building_100
41,Building_101
42,Building_102
43,Building_103
44,Building_104
45,Building_105
46,Building_106
47,Building_107
48,Building_108
49,Building_109
50,Building_110
51,Building_111
52,Building_112
53,Building_113
54,Building_114
55,Building_115
56,Building_116
57,Building_117
58,Building_118
59,Building_119
60,Building_120
61,Building_121
62,Building_122
63,Building_123
64,Building_124
65,Building_125
66,Building_126
67,Building_127
68,Building_128
69,Building_129
70,Building_130
71,Building_131
72,Building_132
73,Building_133
74,Building_134
75,Building_135
76,Building_136
77,Building_137
78,Building_138
79,Building_139
80,Building_140
81,Building_141
82,Building_142
83,Building_143
84,Building_144
85,Building_145
86,Building_146
87,Building_147
88,Building_148
89,Building_149
90,Building_150
91,Building_151
92,Building_152
93,Building_153
94,Building_154
95,Building_155
96,Building_156
97,Building_157
98,Building_158
99,Building_159
100,Building_160
101,Building_161
102,Building_162
103,Building_163
104,Building_164
105,Building_165
106,Building_166
107,Building_167
108,Building_168
109,Building_169
110,Building_170
111,Building_171
112,Building_172
113,Building_173
114,Building_174
115,Building_175
116,Building_176
117,Building_177
118,Building_178
119,Building_179
120,Building_180
121,Building_181
122,Building_182
123,Building_183
124,Building_184
125,Building_185
126,Building_186
127,Building_187
128,Building_188
129,Building_189
130,Building_190
131,Building_192
132,Building_193
133,Building_194
134,Building_195
135,Building_196
136,Building_197
137,Building_198
138,Building_199
139,Building_200
140,Building_201
141,Building_202
142,Building_203
143,Building_204
144,Building_205
145,Building_206
146,Building_207
147,Building_208
148,Building_209
149,Building_210
150,Building_211
151,Building_212
152,Building_213
153,Building_214
154,Building_215
155,Building_216
156,Building_217
157,Building_218
158,Building_219
159,Building_220
160,Building_221
161,Building_222
162,Building_223
163,Building_224
164,Building_225
165,Building_226
166,Building_227
167,Building_228
168,Building_229
169,Building_230
170,Building_231
171,Building_232
172,Building_233
173,Building_234
174,Building_235
175,Building_236
176,Building_57
177,Building_58
178,Building_59
179,Building_60
180,Building_61
181,Building_62
182,Building_63
183,Building_64
184,Building_65
185,Building_66
186,Building_67
187,Building_68
188,Building_69
189,Building_70
190,Building_71
