hits,hitObjectColliderName
25381,CollisionObject1
16793,road_base_network.004
10967,Body
10405,CollisionObject0
7145,Wall
4608,terrain_I.001
4117,terrain_H.001
2852,body
2774,Wall_1
2527,TaskBuilding_2
2403,pavement_Ha.002
2228,pileOfClay_LOD0
2189,Fence
2154,TaskBuilding_34
2111,terrain_Q.001
2014,terrain_T.001
1989,terrain_C.001
1957,scaffold_base_02_LOD0
1940,pavement_I.003
1918,Complete_fence.003
1893,TaskBuilding_14
1889,terrain_X.001
1829,Complete_fence.004
1818,terrain_E.001
1792,Building_176
1767,terrain_G.001
1670,TaskBuilding_1
1658,TaskBuilding_46
1640,terrain_A.001
1632,TaskBuilding_44
1621,Building_97
1613,pileOfSand_LOD0
1583,Building_154
1545,cyclone0
1541,terrain_O.001
1520,TaskBuilding_11
1503,TaskBuilding_13
1484,terrain_W.001
1479,Fence_3
1465,Building_98
1446,TaskBuilding_40
1423,Building_236
1415,Fence_1
1337,TaskBuilding_20
1335,Building_139
1332,church
1327,Fence_15
1315,Building_147
1304,Building_142
1296,TaskBuilding_54
1272,Building_145
1258,TaskBuilding_35
1256,TaskBuilding_4
1239,TaskBuilding_19
1229,Building_225
1224,TaskBuilding_31
1212,road_housing_suburb.003
1212,Building_67
1201,Fence_4
1196,TaskBuilding_15
1173,TaskBuilding_32
1144,Building_159
1097,OldCityWall_15
1082,Graffity_02
1080,TaskBuilding_6
1080,Wall_0
1079,Building_200
1069,Fence_31
1066,CollisionObject2
1065,Graffity_46
1057,Building_137
1056,TaskBuilding_39
1056,Bus_stop_v1 (1)
1051,pavement_J.002
1037,Complete_fence.001
1037,terrain_F.001
1036,Building_232
1018,Building_197
1015,Building_229
1011,Complete_fence.002
994,terrain_U_LP.001
990,road.009
978,OldCityWall_1
977,TaskBuilding_23
975,Building_198
973,Building_133
951,Graffity_54
934,pavement_X.002
928,Fence_6
928,Building_83
921,TaskBuilding_9
916,TaskBuilding_26
911,Wall_7
911,TaskBuilding_37
909,SmallWall_21
902,Building_152
895,Building_210
892,terrain_R.001
886,Building_124
883,Building_205
882,Building_141
876,pavement_T.002
873,Building_235
866,pavement_L.002
866,House_10
864,Cypress_v1_2
862,SmallWall_16
854,road_dense_housing.008
853,Building_104
842,Building_194
824,Building_123
821,Building_131
819,W_new_roads.001
818,OldCityWall_7
813,Building_148
812,Building_158
801,terrain_V.001
791,Building_85
790,OldCityWall_3
788,TaskBuilding_51
781,OldCityWall_8
778,Building_132
776,TaskBuilding_33
774,TaskBuilding_41
772,Graffity_32
766,Building_102
760,TaskBuilding_43
759,TaskBuilding_30
752,OldCityWall_6
748,TaskBuilding_12
745,Graffity_20
741,TaskBuilding_24
729,pavement_E.008
727,Building_153
726,Building_75
725,Building_140
724,Building_103
724,OldCityWall_0
719,OldCityWall_19
718,Building_220
710,Moss.003
705,Cypress_v1_2 (1)
701,Building_91
699,TaskBuilding_53
691,Building_113
689,pavement_R.002
689,Basketball_Court -3D
689,Building_150
671,road_base_network.005
670,Wall_2
666,Building_144
663,Building_92
663,Building_90
660,TaskBuilding_5
659,Building_160
659,building01_LOD1
657,TaskBuilding_45
651,TaskBuilding_8
649,Graffity_14
645,Building_94
641,Building_183
640,E_plateau.001
639,Fence_7
639,Building_223
638,TaskBuilding_29
636,TaskBuilding_36
633,Building_199
630,Fence_9
626,Building_64
625,TaskBuilding_28
623,Building_138
621,Building_203
619,Building_195
618,TaskBuilding_25
612,Complete_fence.006
607,pavement_S.002
606,Building_211
604,Building_84
604,terrain_S.001
598,Building_170
597,Fence_0
594,Building_189
592,terrain_L.001
590,TaskBuilding_17
589,Building_178
588,TaskBuilding_50
585,Building_109
585,Cypress_v1_2 (4)
582,TaskBuilding_18
577,Graffity_35
576,SmallWall_7
574,Building_212
571,pavement_C.002
570,pavement_A.002
569,Building_161
566,Building_228
