hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
PhoneCollider,1,-55.26068115234375,-0.28271377086639404,-79.39488220214844,1054,dyadic_leader
Sphere (2),2,-55.266944885253906,-0.31119176745414734,-79.4229736328125,1054,dyadic_leader
PhoneCollider,1,-55.26043701171875,-0.2829782962799072,-79.39447021484375,1054,dyadic_leader
Sphere (2),2,-55.266719818115234,-0.3114478588104248,-79.4227294921875,1054,dyadic_leader
road_base_network.004,1,39.25787353515625,-4.40830135345459,51.76885986328125,1054,dyadic_leader
thumb_distal,1,-54.98393249511719,-0.2901094853878021,-79.65157318115234,1054,dyadic_leader
thumb_distal,1,-54.80883026123047,-0.2966468632221222,-79.76897430419922,1054,dyadic_leader
thumb_distal,1,-54.76520538330078,-0.2982025742530823,-79.79810333251953,1054,dyadic_leader
thumb_distal,1,-54.67082977294922,-0.30153751373291016,-79.86135864257812,1054,dyadic_leader
thumb_distal,1,-54.624080657958984,-0.30308088660240173,-79.89217376708984,1054,dyadic_leader
thumb_distal,1,-54.577457427978516,-0.30462104082107544,-79.92234802246094,1054,dyadic_leader
PhoneCollider,1,-54.437469482421875,-0.31885576248168945,-79.93478393554688,1054,dyadic_leader
Sphere (2),2,-54.442955017089844,-0.346680223941803,-79.96367645263672,1054,dyadic_leader
PhoneCollider,1,-54.4283447265625,-0.3192782402038574,-79.94036865234375,1054,dyadic_leader
Sphere (2),2,-54.433841705322266,-0.3470832109451294,-79.96923828125,1054,dyadic_leader
PhoneCollider,1,-54.428253173828125,-0.3193652629852295,-79.94007873535156,1054,dyadic_leader
Sphere (2),2,-54.43380355834961,-0.34725242853164673,-79.96881866455078,1054,dyadic_leader
PhoneCollider,1,-54.42822265625,-0.3194936513900757,-79.93968200683594,1054,dyadic_leader
Sphere (2),2,-54.43370819091797,-0.3473941385746002,-79.96844482421875,1054,dyadic_leader
