hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
PhoneCollider,1,-56.57872009277344,-0.2694553732872009,-79.84561157226562,1008,single
Sphere (2),2,-56.6009635925293,-0.28680774569511414,-79.87185668945312,1008,single
PhoneCollider,1,-56.54029846191406,-0.27064400911331177,-79.87191772460938,1008,single
Sphere (2),2,-56.5625,-0.2879273295402527,-79.89815521240234,1008,single
PhoneCollider,1,-56.52227783203125,-0.2711424231529236,-79.88357543945312,1008,single
Sphere (2),2,-56.5444221496582,-0.2885074019432068,-79.90984344482422,1008,single
PhoneCollider,1,-56.50445556640625,-0.2717135548591614,-79.8950424194336,1008,single
Sphere (2),2,-56.52659606933594,-0.28901082277297974,-79.9212875366211,1008,single
PhoneCollider,1,-56.468994140625,-0.2726603150367737,-79.91748046875,1008,single
Sphere (2),2,-56.491355895996094,-0.29004615545272827,-79.94381713867188,1008,single
PhoneCollider,1,-56.45149230957031,-0.27325862646102905,-79.9288101196289,1008,single
Sphere (2),2,-56.47378921508789,-0.29061567783355713,-79.9551010131836,1008,single
PhoneCollider,1,-56.41644287109375,-0.2743338942527771,-79.95075225830078,1008,single
Sphere (2),2,-56.4386100769043,-0.2916319966316223,-79.97689819335938,1008,single
PhoneCollider,1,-56.39703369140625,-0.27483075857162476,-79.96048736572266,1008,single
Sphere (2),2,-56.419288635253906,-0.29206010699272156,-79.98663330078125,1008,single
PhoneCollider,1,-56.35456848144531,-0.2758299708366394,-79.97926330566406,1008,single
Sphere (2),2,-56.376739501953125,-0.29305383563041687,-80.00550842285156,1008,single
PhoneCollider,1,-56.33226013183594,-0.27630263566970825,-79.98844909667969,1008,single
Sphere (2),2,-56.35434341430664,-0.29348865151405334,-80.01459503173828,1008,single
PhoneCollider,1,-56.30810546875,-0.27677446603775024,-79.99755096435547,1008,single
Sphere (2),2,-56.33031463623047,-0.2940184772014618,-80.02369689941406,1008,single
