ColliderName,Samples,Index
NoHouse,278,0
Building_160,6,1
NoHouse,2,2
Building_160,5,3
NoHouse,39,4
Building_160,2,5
Building_161,2,6
Building_162,65,7
NoHouse,89,8
Building_161,56,9
Building_160,2,10
NoHouse,18,11
TaskBuilding_35,198,12
NoHouse,48,13
Building_171,2,22
NoHouse,2,23
Building_171,2,24
NoHouse,2,25
Building_171,1,26
NoHouse,2,27
Building_171,3,28
NoHouse,2,29
Building_171,4,30
NoHouse,9,31
Building_171,2,32
NoHouse,2,33
Building_171,6,34
NoHouse,4,35
Building_166,84,36
Building_167,6,37
NoHouse,2,38
Building_167,3,39
Building_166,2,40
Building_167,9,41
Building_166,6,42
Building_167,2,43
TaskBuilding_42,2,44
NoHouse,15,45
Building_173,3,46
NoHouse,2,47
Building_173,2,48
NoHouse,7,49
Building_173,2,50
NoHouse,2,51
Building_173,2,52
NoHouse,51,53
Building_215,2,54
Castle-TaskBuilding_56,2,55
Building_215,4,56
Castle-TaskBuilding_56,8,57
crane_2,8,58
Castle-TaskBuilding_56,1,59
crane_2,3,60
NoHouse,2,61
Castle-TaskBuilding_56,4,62
crane_2,6,63
NoHouse,6,64
Building_173,2,65
NoHouse,25,66
TaskBuilding_35,1034,67
NoHit,2,68
TaskBuilding_41,2,69
NoHouse,8,70
TaskBuilding_41,2,71
NoHouse,6,72
TaskBuilding_41,2,73
Building_171,22,74
TaskBuilding_41,2,75
Building_171,16,76
TaskBuilding_41,2,77
Building_171,2,78
NoHouse,4,79
Building_171,7,80
NoHouse,6,81
Building_166,119,82
TaskBuilding_42,2,83
NoHouse,5,84
Building_155,3,85
NoHouse,10,86
Building_155,4,87
NoHouse,1,88
Building_155,4,89
NoHouse,12,90
Building_155,25,91
crane_1,2,92
Building_155,5,93
crane_1,2,94
Building_155,2,95
crane_1,3,96
Building_155,2,97
crane_1,2,98
Building_155,22,99
NoHouse,26,100
Building_154,4,101
crane_1,4,102
Building_154,2,103
NoHouse,2,104
crane_1,10,105
NoHouse,2,106
crane_1,2,107
Building_154,1,108
crane_1,1,109
Building_154,2,110
NoHouse,2,111
Building_154,7,112
NoHouse,1,113
Building_153,8,114
NoHouse,1,115
Building_153,3,116
NoHouse,1,117
Building_153,19,118
TaskBuilding_39,1,119
Building_140,2,120
Building_152,78,121
Building_140,2,122
TaskBuilding_39,2,123
NoHouse,33,124
TaskBuilding_39,10,125
NoHouse,6,128
TaskBuilding_39,2,129
NoHouse,6,130
TaskBuilding_39,3,131
NoHit,2,132
NoHouse,1,133
TaskBuilding_39,1,134
NoHouse,2,135
TaskBuilding_39,2,136
NoHouse,22,137
Building_218,2,138
NoHouse,19,139
TaskBuilding_43,2,140
NoHouse,2,141
TaskBuilding_43,2,142
NoHouse,2,143
TaskBuilding_43,2,144
NoHouse,87,145
Building_215,1,146
Building_173,6,147
NoHouse,2,148
Building_173,27,149
NoHouse,6,150
Building_173,2,151
Building_166,174,152
TaskBuilding_42,4,153
Building_168,1,154
TaskBuilding_42,13,155
Building_168,2,156
TaskBuilding_42,6,157
Building_168,1,158
TaskBuilding_42,5,159
Building_168,1,160
TaskBuilding_42,2,161
NoHouse,212,162
Building_173,2,163
TaskBuilding_42,4,164
Building_167,22,165
Building_166,7,166
Building_167,2,167
Building_166,3,168
Building_167,59,169
Building_166,31,170
Building_167,53,171
NoHouse,15,172
crane_1,2,173
Building_156,4,174
Building_155,1,175
crane_1,1,176
TaskBuilding_43,2,177
crane_1,2,178
TaskBuilding_43,9,179
NoHouse,2,180
TaskBuilding_43,7,181
NoHouse,172,182
TaskBuilding_42,43,183
Building_173,2,184
NoHouse,27,185
TaskBuilding_42,60,186
Building_173,2,187
TaskBuilding_42,28,188
Building_167,44,189
Building_169,15,190
Building_167,23,191
Building_169,4,192
Building_167,2,193
Building_169,10,194
Building_171,1,195
NoHouse,3,196
Building_169,1,197
Building_171,1,198
Building_169,5,199
Building_171,2,200
Building_169,3,201
Building_171,10,202
NoHouse,2,203
Building_171,4,204
NoHouse,4,205
Building_169,13,206
Building_167,1,207
Building_169,2,208
Building_167,10,209
Building_169,3,210
Building_171,2,211
NoHouse,4,212
TaskBuilding_41,2,213
NoHouse,2,214
TaskBuilding_41,2,215
NoHouse,6,216
NoHit,2,217
Building_166,21,218
TaskBuilding_41,4,223
Building_166,11,224
NoHouse,2,227
Building_171,6,228
NoHouse,32,229
TaskBuilding_41,2,230
Building_166,86,231
NoHouse,2,232
Building_166,10,233
NoHouse,2,234
Building_166,40,235
NoHouse,2,236
NoHit,2,237
TaskBuilding_41,5,238
Building_183,2,239
TaskBuilding_41,2,240
NoHouse,2,241
Building_166,6,242
TaskBuilding_41,10,243
Building_166,9,244
TaskBuilding_41,1,245
NoHouse,2,246
TaskBuilding_41,2,247
NoHouse,16,248
Building_166,7,249
NoHouse,2,250
Building_166,24,251
TaskBuilding_41,2,252
NoHouse,16,253
TaskBuilding_41,10,254
NoHouse,61,255
Building_171,7,262
Building_169,2,265
NoHouse,2,266
Building_171,8,267
NoHouse,12,268
NoHit,4,271
Building_183,2,272
NoHit,6,273
NoHouse,37,274
Building_171,2,279
NoHouse,6,280
NoHit,2,281
Building_169,28,282
Building_167,15,283
Building_169,2,284
Building_167,2,285
Building_169,15,286
Building_167,28,287
Building_168,4,288
TaskBuilding_42,30,289
NoHouse,6,290
crane_2,12,291
NoHouse,2,294
crane_2,2,295
NoHouse,11,296
NoHit,2,299
crane_2,2,300
NoHit,4,301
NoHouse,13,302
Building_215,2,307
NoHit,4,308
NoHouse,2,309
NoHit,4,310
Building_215,2,311
NoHit,7,312
TaskBuilding_43,4,313
crane_1,2,314
TaskBuilding_43,2,315
crane_1,1,316
TaskBuilding_43,4,317
Building_155,2,318
crane_1,4,319
TaskBuilding_43,2,320
Building_156,2,321
TaskBuilding_43,2,322
Building_156,4,323
Building_155,1,324
Building_156,3,325
NoHouse,2,326
TaskBuilding_43,20,327
Building_155,3,328
crane_1,4,329
Building_155,2,330
crane_1,2,331
Building_155,11,332
crane_1,5,333
Building_155,18,334
crane_1,1,335
Building_155,21,336
NoHouse,4,337
Building_154,4,338
NoHouse,8,339
Building_154,2,340
NoHouse,2,341
Building_154,2,342
NoHouse,2,343
Building_154,4,344
Building_155,57,345
NoHouse,37,346
NoHit,3,347
TaskBuilding_53,1,348
NoHouse,50,349
Building_155,27,350
NoHouse,37,351
Building_155,4,352
crane_1,34,353
Building_156,2,354
crane_1,90,355
NoHouse,86,356
Building_216,5,357
NoHouse,4,358
Building_216,5,359
NoHouse,1,360
Building_216,8,361
Building_217,2,362
Building_216,4,363
Building_217,5,364
Building_218,10,365
TaskBuilding_53,3,366
NoHouse,357,367
Building_216,3,368
NoHouse,58,369
Building_216,1,370
Building_218,2,371
NoHit,2,372
TaskBuilding_43,6,373
Building_155,2,374
TaskBuilding_43,13,375
TaskBuilding_53,2,376
NoHouse,2,377
TaskBuilding_43,2,378
Building_156,2,379
TaskBuilding_43,2,380
Building_156,4,381
NoHouse,4,382
TaskBuilding_43,30,383
NoHouse,2,384
TaskBuilding_43,2,385
NoHouse,4,386
TaskBuilding_43,2,387
NoHouse,2,388
TaskBuilding_43,4,389
NoHouse,1,390
TaskBuilding_43,3,391
NoHouse,10,392
Building_173,2,393
TaskBuilding_42,4,394
Building_173,77,395
TaskBuilding_42,4,396
Building_168,98,397
NoHouse,20,398
TaskBuilding_42,139,399
Building_173,4,400
NoHouse,4,401
Building_173,4,402
NoHouse,6,403
Building_173,7,404
NoHouse,19,405
Building_173,33,406
Building_175,4,407
NoHouse,6,408
Building_175,2,409
NoHouse,4,410
Building_175,5,411
NoHouse,3,412
crane_2,1,413
NoHouse,80,414
TaskBuilding_43,2,415
Building_155,25,416
Building_156,4,417
Building_155,9,418
Building_156,26,419
NoHouse,2,420
Building_215,2,421
NoHouse,128,422
Building_173,5,423
TaskBuilding_42,2,424
Building_173,4,425
TaskBuilding_42,7,426
NoHouse,2,427
TaskBuilding_42,117,428
TaskBuilding_50,2,429
NoHouse,1,430
TaskBuilding_50,1,431
NoHouse,6,432
TaskBuilding_50,6,433
TaskBuilding_54,2,434
NoHouse,2,435
TaskBuilding_50,2,436
NoHouse,2,437
TaskBuilding_50,2,438
NoHouse,2,439
TaskBuilding_54,2,440
NoHouse,4,441
TaskBuilding_50,2,442
NoHouse,11,443
TaskBuilding_50,2,446
NoHouse,6,447
TaskBuilding_42,1,448
NoHouse,28,449
Building_172,6,450
NoHouse,3,451
Building_172,2,452
NoHouse,10,453
Building_172,4,454
NoHouse,3,455
Building_172,2,456
NoHouse,2,457
Building_172,4,458
NoHouse,79,459
