ColliderName,Samples,timeDiff,Index
NoHouse,26,0.33777642250061035,0
TaskBuilding_35,35,0.492032527923584,1
NoHouse,27,0.487072229385376,2
TaskBuilding_35,855,14.083924770355225,3
NoHit,0.0441436767578125,,4
Building_164,19,0.2881760597229004,5
Building_163,2,0.033231496810913086,6
TaskBuilding_35,1,0.011408567428588867,7
Building_163,37,0.6309125423431396,8
NoHouse,1,0.011408090591430664,9
Building_163,2,0.0441434383392334,10
NoHit,0.021824359893798828,,11
HighSilo-TaskBuilding_49,2,0.03323221206665039,12
NoHit,0.22518396377563477,,13
Building_163,1,0.021823883056640625,14
Building_164,2,0.03323221206665039,15
NoHouse,12,0.20038390159606934,16
TaskBuilding_41,1,0.022319793701171875,17
Building_166,43,0.6219840049743652,18
Building_167,29,0.5004644393920898,19
Building_166,83,1.2206566333770752,20
Building_167,1,0.010911703109741211,21
Building_168,1,0.011408090591430664,22
Building_173,1,0.021824359893798828,23
NoHouse,7,0.08878397941589355,24
Building_215,1,0.010911703109741211,25
crane_2,1,0.011408329010009766,26
Castle-TaskBuilding_56,1,0.010911226272583008,27
NoHouse,1,0.011408567428588867,28
crane_2,1,0.021823644638061523,29
NoHouse,1,0.022320032119750977,30
Castle-TaskBuilding_56,1,0.001985311508178711,31
NoHouse,1,0.00942373275756836,32
crane_2,1,0.01091146469116211,33
NoHouse,7,0.11110377311706543,34
crane_2,4,0.0773766040802002,35
Castle-TaskBuilding_56,1,0.022319555282592773,36
NoHit,24,0.3541431427001953,37
crane_1,1,0.011408805847167969,38
Building_155,13,0.23262476921081543,39
NoHouse,42,0.6438074111938477,40
Building_155,2,0.04464101791381836,41
Building_156,1,0.010910749435424805,42
Building_216,1,0.011408567428588867,43
NoHouse,1,0.02231907844543457,44
Building_216,2,0.044144630432128906,45
NoHouse,2,0.03323173522949219,46
Building_216,1,0.011408805847167969,47
NoHouse,1,0.010911703109741211,48
Building_216,2,0.022320032119750977,49
NoHouse,60,0.999936580657959,50
