ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
NoHouse,20,0.29561543464660645,0,-59.06700134277344,2.4175093173980713,34.8237419128418
Building_161,14,0.2137758731842041,1,-59.06950378417969,2.4255913496017456,34.815948486328125
NoHouse,90,1.3878068923950195,2,-59.05918884277344,2.4038779735565186,34.81673049926758
Building_100,6,0.08878421783447266,3,-59.01460266113281,2.407373785972595,34.79842758178711
NoHouse,31,0.4890553951263428,4,-59.01603698730469,2.4109654426574707,34.785911560058594
Building_100,1,0.021824121475219727,5,-59.02122497558594,2.412501096725464,34.77987670898437
TaskBuilding_27,11,0.17806410789489746,6,-59.02714538574219,2.414907455444336,34.78394317626953
Building_101,1,0.022319793701171875,7,-59.03642272949219,2.41935133934021,34.790237426757805
Building_157,2,0.045632123947143555,8,-59.03819274902344,2.4204866886138916,34.7913703918457
Building_158,2,0.04315185546875,9,-59.04182434082031,2.4224205017089844,34.793323516845696
Building_162,1,0.022320032119750977,10,-59.04368591308594,2.4230291843414307,34.794097900390625
NoHouse,4,0.06596779823303223,11,-59.0487060546875,2.4242031574249268,34.7951545715332
Building_162,1,0.011408567428588867,12,-59.05186462402344,2.424692153930664,34.795135498046875
NoHouse,3,0.06646323204040527,13,-59.05409240722656,2.4249167442321777,34.795005798339844
Building_162,1,0.02232050895690918,14,-59.05613708496094,2.4254212379455566,34.794776916503906
NoHouse,3,0.055552005767822266,15,-59.05824279785156,2.425620079040528,34.794143676757805
Building_162,1,0.010911941528320312,16,-59.06266784667969,2.4256603717803955,34.792091369628906
Building_161,1,0.010911941528320312,17,-59.06492614746094,2.4260618686676025,34.791099548339844
NoHouse,3,0.03372764587402344,18,-59.06712341308594,2.4265835285186768,34.790023803710945
TaskBuilding_35,1,0.021823883056640625,19,-59.07017517089844,2.426666736602783,34.787918090820305
NoHit,6,0.07787227630615234,20,-59.07356262207031,2.4260112047195435,34.784358978271484
NoHouse,6,0.07787179946899414,21,-59.07615661621094,2.4261951446533203,34.78192138671875
TaskBuilding_35,130,2.1546225547790527,24,-59.46875,2.4371808767318726,34.76364517211914
NoHouse,5,0.055551767349243164,25,-62.59382629394531,2.5614023208618164,35.81519317626953
TaskBuilding_35,267,4.219965219497681,26,-64.29039001464844,2.792466640472412,37.14189910888672
NoHouse,7,0.10019183158874512,27,-63.83168029785156,2.4990687370300293,33.457305908203125
TaskBuilding_35,80,1.4666712284088135,28,-63.83842468261719,2.497455358505249,33.45640563964844
Building_164,3,0.055056095123291016,29,-63.87498474121094,2.47460412979126,33.449691772460945
