Edge1,Edge2
Building_210,Building_186
Building_207,Building_210
TaskBuilding_55,Building_207
NoHit,TaskBuilding_55
Building_168,NoHit
TaskBuilding_35,Building_168
Building_214,TaskBuilding_35
Building_211,Building_214
Building_210,Building_211
Building_214,Building_210
TaskBuilding_43,Building_214
Building_154,TaskBuilding_43
Building_236,Building_154
Building_154,Building_236
TaskBuilding_35,Building_154
TaskBuilding_43,TaskBuilding_35
TaskBuilding_35,TaskBuilding_43
Building_168,TaskBuilding_35
crane_1,Building_168
TaskBuilding_43,crane_1
Building_155,TaskBuilding_43
Building_166,Building_155
Building_168,Building_166
Building_101,Building_168
Building_155,Building_101
crane_1,Building_155
NoHit,crane_1
crane_1,NoHit
Building_155,crane_1
Building_151,Building_155
TaskBuilding_35,Building_151
Building_100,TaskBuilding_35
TaskBuilding_27,Building_100
Building_99,TaskBuilding_27
Building_101,Building_99
TaskBuilding_27,Building_101
TaskBuilding_30,TaskBuilding_27
TaskBuilding_27,TaskBuilding_30
TaskBuilding_5,TaskBuilding_27
Building_100,TaskBuilding_5
TaskBuilding_30,Building_100
Building_102,TaskBuilding_30
Building_98,Building_102
Building_99,Building_98
Building_107,Building_99
Building_97,Building_107
Building_110,Building_97
Garage_98,Building_110
TaskBuilding_23,Garage_98
TaskBuilding_27,TaskBuilding_23
TaskBuilding_23,TaskBuilding_27
Building_96,TaskBuilding_23
TaskBuilding_23,Building_96
Building_94,TaskBuilding_23
TaskBuilding_23,Building_94
Building_94,TaskBuilding_23
TaskBuilding_18,Building_94
Building_96,TaskBuilding_18
TaskBuilding_14,Building_96
TaskBuilding_18,TaskBuilding_14
Building_96,TaskBuilding_18
TaskBuilding_18,Building_96
Building_91,TaskBuilding_18
Building_89,Building_91
Building_74,Building_89
TaskBuilding_14,Building_74
Building_94,TaskBuilding_14
TaskBuilding_19,Building_94
Building_91,TaskBuilding_19
Building_89,Building_91
TaskBuilding_14,Building_89
Building_96,TaskBuilding_14
TaskBuilding_18,Building_96
Building_79,TaskBuilding_18
TaskBuilding_13,Building_79
TaskBuilding_14,TaskBuilding_13
House_10,TaskBuilding_14
Building_104,House_10
Building_110,Building_104
Building_74,Building_110
TaskBuilding_13,Building_74
Building_75,TaskBuilding_13
Building_76,Building_75
Building_71,Building_76
House_10,Building_71
Building_89,House_10
Windmill-TaskBuilding_10_1,Building_89
House_10,Windmill-TaskBuilding_10_1
Building_72,House_10
Building_73,Building_72
Building_72,Building_73
Building_73,Building_72
Building_72,Building_73
Building_71,Building_72
Building_72,Building_71
Building_68,Building_72
Building_71,Building_68
TaskBuilding_9,Building_71
Building_63,TaskBuilding_9
House_10,Building_63
TaskBuilding_9,House_10
Building_64,TaskBuilding_9
Building_65,Building_64
Building_64,Building_65
Building_65,Building_64
Building_66,Building_65
Building_69,Building_66
Church-TaskBuilding_16,Building_69
Building_67,Church-TaskBuilding_16
TaskBuilding_11,Building_67
Building_67,TaskBuilding_11
TaskBuilding_13,Building_67
TaskBuilding_15,TaskBuilding_13
TaskBuilding_13,TaskBuilding_15
Building_67,TaskBuilding_13
Building_84,Building_67
Building_76,Building_84
TaskBuilding_13,Building_76
Building_76,TaskBuilding_13
Building_96,Building_76
TaskBuilding_15,Building_96
Building_84,TaskBuilding_15
Building_85,Building_84
Building_80,Building_85
Building_86,Building_80
TaskBuilding_3,Building_86
Building_86,TaskBuilding_3
Building_87,Building_86
Building_85,Building_87
Building_87,Building_85
Building_97,Building_87
Building_104,Building_97
TaskBuilding_24,Building_104
Building_97,TaskBuilding_24
Building_96,Building_97
Building_113,Building_96
TaskBuilding_17,Building_113
Building_106,TaskBuilding_17
Building_104,Building_106
Church-TaskBuilding_16,Building_104
Building_86,Church-TaskBuilding_16
Building_85,Building_86
TaskBuilding_17,Building_85
Building_110,TaskBuilding_17
Building_combined_115_116,Building_110
TaskBuilding_1,Building_combined_115_116
Building_87,TaskBuilding_1
TaskBuilding_1,Building_87
Building_87,TaskBuilding_1
TaskBuilding_1,Building_87
Church-TaskBuilding_16,TaskBuilding_1
Building_combined_115_116,Church-TaskBuilding_16
Building_113,Building_combined_115_116
TaskBuilding_1,Building_113
TaskBuilding_17,TaskBuilding_1
Building_114,TaskBuilding_17
Church-TaskBuilding_16,Building_114
Building_combined_115_116,Church-TaskBuilding_16
Building_114,Building_combined_115_116
TaskBuilding_17,Building_114
Building_combined_115_116,TaskBuilding_17
TaskBuilding_17,Building_combined_115_116
Building_113,TaskBuilding_17
Building_combined_115_116,Building_113
Building_114,Building_combined_115_116
TaskBuilding_22,Building_114
Building_113,TaskBuilding_22
TaskBuilding_30,Building_113
TaskBuilding_26,TaskBuilding_30
Building_108,TaskBuilding_26
TaskBuilding_30,Building_108
Building_108,TaskBuilding_30
Building_109,Building_108
TaskBuilding_26,Building_109
TaskBuilding_30,TaskBuilding_26
Building_99,TaskBuilding_30
TaskBuilding_30,Building_99
TaskBuilding_26,TaskBuilding_30
Garage_98,TaskBuilding_26
Building_145,Garage_98
TaskBuilding_39,Building_145
TaskBuilding_30,TaskBuilding_39
Building_108,TaskBuilding_30
Building_111,Building_108
TaskBuilding_24,Building_111
TaskBuilding_28,TaskBuilding_24
TaskBuilding_24,TaskBuilding_28
Building_112,TaskBuilding_24
Building_114,Building_112
Building_117,Building_114
TaskBuilding_22,Building_117
Building_117,TaskBuilding_22
TaskBuilding_22,Building_117
Building_117,TaskBuilding_22
Building_combined_115_116,Building_117
Building_122,Building_combined_115_116
TaskBuilding_22,Building_122
Building_118,TaskBuilding_22
Building_122,Building_118
Building_128,Building_122
TaskBuilding_21,Building_128
Building_134,TaskBuilding_21
Building_125,Building_134
Building_121,Building_125
TaskBuilding_21,Building_121
Building_126,TaskBuilding_21
Building_134,Building_126
Building_228,Building_134
Building_131,Building_228
Building_123,Building_131
TaskBuilding_37,Building_123
Building_131,TaskBuilding_37
TaskBuilding_25,Building_131
Building_230,TaskBuilding_25
Building_124,Building_230
Building_123,Building_124
Building_145,Building_123
Building_123,Building_145
Building_124,Building_123
Building_132,Building_124
Building_124,Building_132
TaskBuilding_4,Building_124
Building_142,TaskBuilding_4
Building_124,Building_142
Building_142,Building_124
Building_143,Building_142
Building_142,Building_143
TaskBuilding_36,Building_142
Building_140,TaskBuilding_36
Building_153,Building_140
TaskBuilding_42,Building_153
Building_171,TaskBuilding_42
Building_169,Building_171
Building_172,Building_169
TaskBuilding_52,Building_172
TaskBuilding_46,TaskBuilding_52
TaskBuilding_40,TaskBuilding_46
Building_178,TaskBuilding_40
TaskBuilding_6,Building_178
Building_183,TaskBuilding_6
Building_181,Building_183
Building_180,Building_181
Building_181,Building_180
Building_180,Building_181
Building_181,Building_180
Building_180,Building_181
Building_186,Building_210
