Edge1,Edge2
TaskBuilding_19,TaskBuilding_53
Windmill-TaskBuilding_10_1,TaskBuilding_19
House_10,Windmill-TaskBuilding_10_1
Building_90,House_10
Building_91,Building_90
Building_90,Building_91
Building_91,Building_90
TaskBuilding_2,Building_91
Building_94,TaskBuilding_2
Building_91,Building_94
NoHit,Building_91
Building_91,NoHit
Building_92,Building_91
Building_91,Building_92
Building_176,Building_91
TaskBuilding_19,Building_176
Building_94,TaskBuilding_19
TaskBuilding_14,Building_94
Building_92,TaskBuilding_14
Building_176,Building_92
TaskBuilding_19,Building_176
Building_91,TaskBuilding_19
TaskBuilding_19,Building_91
Building_103,TaskBuilding_19
Building_176,Building_103
Building_94,Building_176
TaskBuilding_19,Building_94
Building_176,TaskBuilding_19
Building_103,Building_176
Building_92,Building_103
Building_176,Building_92
TaskBuilding_27,Building_176
Building_101,TaskBuilding_27
Building_103,Building_101
TaskBuilding_29,Building_103
Building_176,TaskBuilding_29
Building_92,Building_176
Building_176,Building_92
Building_198,Building_176
Building_159,Building_198
TaskBuilding_34,Building_159
Building_176,TaskBuilding_34
HighSilo-TaskBuilding_49,Building_176
TaskBuilding_38,HighSilo-TaskBuilding_49
Building_178,TaskBuilding_38
Building_176,Building_178
TaskBuilding_40,Building_176
Building_163,TaskBuilding_40
House_49,Building_163
TaskBuilding_51,House_49
Garage_185,TaskBuilding_51
Building_177,Garage_185
TaskBuilding_40,Building_177
Building_163,TaskBuilding_40
TaskBuilding_41,Building_163
Building_170,TaskBuilding_41
TaskBuilding_41,Building_170
Building_163,TaskBuilding_41
TaskBuilding_40,Building_163
Building_163,TaskBuilding_40
TaskBuilding_35,Building_163
Building_164,TaskBuilding_35
TaskBuilding_35,Building_164
Building_165,TaskBuilding_35
Building_209,Building_165
Building_152,Building_209
Building_155,Building_152
Building_156,Building_155
Building_236,Building_156
Building_150,Building_236
Building_152,Building_150
Building_147,Building_152
Building_152,Building_147
Building_147,Building_152
TaskBuilding_33,Building_147
Building_152,TaskBuilding_33
Building_141,Building_152
Building_145,Building_141
Building_141,Building_145
TaskBuilding_31,Building_141
Building_154,TaskBuilding_31
Building_141,Building_154
TaskBuilding_44,Building_141
Building_139,TaskBuilding_44
TaskBuilding_44,Building_139
Building_232,TaskBuilding_44
Building_230,Building_232
Building_229,Building_230
TaskBuilding_44,Building_229
Garage_235,TaskBuilding_44
TaskBuilding_45,Garage_235
TaskBuilding_7,TaskBuilding_45
Building_210,TaskBuilding_7
Building_207,Building_210
TaskBuilding_55,Building_207
NoHit,TaskBuilding_55
Building_168,NoHit
TaskBuilding_35,Building_168
Building_214,TaskBuilding_35
Building_211,Building_214
Building_210,Building_211
Building_214,Building_210
TaskBuilding_43,Building_214
Building_154,TaskBuilding_43
Building_236,Building_154
Building_154,Building_236
TaskBuilding_35,Building_154
TaskBuilding_43,TaskBuilding_35
TaskBuilding_35,TaskBuilding_43
Building_168,TaskBuilding_35
crane_1,Building_168
TaskBuilding_43,crane_1
Building_155,TaskBuilding_43
Building_166,Building_155
Building_168,Building_166
Building_101,Building_168
Building_155,Building_101
crane_1,Building_155
NoHit,crane_1
crane_1,NoHit
Building_155,crane_1
Building_151,Building_155
TaskBuilding_35,Building_151
Building_100,TaskBuilding_35
TaskBuilding_27,Building_100
Building_99,TaskBuilding_27
Building_101,Building_99
TaskBuilding_27,Building_101
TaskBuilding_30,TaskBuilding_27
TaskBuilding_27,TaskBuilding_30
TaskBuilding_5,TaskBuilding_27
Building_100,TaskBuilding_5
TaskBuilding_30,Building_100
Building_102,TaskBuilding_30
Building_98,Building_102
Building_99,Building_98
Building_107,Building_99
Building_97,Building_107
Building_110,Building_97
Garage_98,Building_110
TaskBuilding_23,Garage_98
TaskBuilding_27,TaskBuilding_23
TaskBuilding_23,TaskBuilding_27
Building_96,TaskBuilding_23
TaskBuilding_23,Building_96
Building_94,TaskBuilding_23
TaskBuilding_23,Building_94
Building_94,TaskBuilding_23
TaskBuilding_18,Building_94
Building_96,TaskBuilding_18
TaskBuilding_14,Building_96
TaskBuilding_18,TaskBuilding_14
Building_96,TaskBuilding_18
TaskBuilding_18,Building_96
Building_91,TaskBuilding_18
Building_89,Building_91
Building_74,Building_89
TaskBuilding_14,Building_74
Building_94,TaskBuilding_14
TaskBuilding_19,Building_94
Building_91,TaskBuilding_19
Building_89,Building_91
TaskBuilding_14,Building_89
Building_96,TaskBuilding_14
TaskBuilding_18,Building_96
Building_79,TaskBuilding_18
TaskBuilding_13,Building_79
TaskBuilding_14,TaskBuilding_13
House_10,TaskBuilding_14
Building_104,House_10
Building_110,Building_104
Building_74,Building_110
TaskBuilding_13,Building_74
Building_75,TaskBuilding_13
Building_76,Building_75
Building_71,Building_76
House_10,Building_71
Building_89,House_10
Windmill-TaskBuilding_10_1,Building_89
House_10,Windmill-TaskBuilding_10_1
Building_72,House_10
Building_73,Building_72
Building_72,Building_73
Building_73,Building_72
Building_72,Building_73
Building_71,Building_72
Building_72,Building_71
Building_68,Building_72
Building_71,Building_68
TaskBuilding_9,Building_71
Building_63,TaskBuilding_9
House_10,Building_63
TaskBuilding_9,House_10
Building_64,TaskBuilding_9
Building_65,Building_64
Building_64,Building_65
Building_65,Building_64
Building_66,Building_65
Building_69,Building_66
Church-TaskBuilding_16,Building_69
Building_67,Church-TaskBuilding_16
