Edge1,Edge2
Building_170,Building_152
Building_163,Building_170
TaskBuilding_40,Building_163
Building_178,TaskBuilding_40
TaskBuilding_46,Building_178
TaskBuilding_6,TaskBuilding_46
Building_180,TaskBuilding_6
Building_183,Building_180
Building_199,Building_183
TaskBuilding_46,Building_199
Building_198,TaskBuilding_46
TaskBuilding_50,Building_198
Building_212,TaskBuilding_50
Building_198,Building_212
NoHit,Building_198
Building_212,NoHit
Building_198,Building_212
Building_203,Building_198
Building_202,Building_203
Building_196,Building_202
Building_209,Building_196
Building_212,Building_209
Building_214,Building_212
Building_212,Building_214
Building_199,Building_212
Building_208,Building_199
Building_209,Building_208
Building_201,Building_209
TaskBuilding_55,Building_201
Building_205,TaskBuilding_55
Building_204,Building_205
Building_209,Building_204
Building_208,Building_209
Building_209,Building_208
Building_208,Building_209
Building_207,Building_208
Building_213,Building_207
Building_214,Building_213
TaskBuilding_8,Building_214
Building_211,TaskBuilding_8
TaskBuilding_8,Building_211
Building_211,TaskBuilding_8
Building_215,Building_211
Building_236,Building_215
Building_154,Building_236
Garage_235,Building_154
Building_233,Garage_235
Building_236,Building_233
Building_154,Building_236
Building_236,Building_154
TaskBuilding_48,Building_236
Building_154,TaskBuilding_48
Building_232,Building_154
Building_231,Building_232
Building_221,Building_231
Building_220,Building_221
Building_225,Building_220
Building_233,Building_225
TaskBuilding_48,Building_233
Building_231,TaskBuilding_48
TaskBuilding_7,Building_231
TaskBuilding_45,TaskBuilding_7
TaskBuilding_7,TaskBuilding_45
TaskBuilding_45,TaskBuilding_7
Building_225,TaskBuilding_45
Building_223,Building_225
TaskBuilding_45,Building_223
Building_147,TaskBuilding_45
Building_154,Building_147
Building_152,Building_154
Building_140,Building_152
Building_152,Building_170
