Edge1,Edge2
NoHit,TaskBuilding_14
Building_217,NoHit
Building_218,Building_217
TaskBuilding_53,Building_218
Building_218,TaskBuilding_53
Building_213,Building_218
Building_154,Building_213
Building_139,Building_154
Building_229,Building_139
Building_228,Building_229
Building_136,Building_228
Building_228,Building_136
Building_98,Building_228
Building_132,Building_98
Building_127,Building_132
Building_125,Building_127
Building_121,Building_125
TaskBuilding_20,Building_121
NoHit,TaskBuilding_20
TaskBuilding_1,NoHit
Building_67,TaskBuilding_1
TaskBuilding_11,Building_67
Building_64,TaskBuilding_11
TaskBuilding_11,Building_64
Building_64,TaskBuilding_11
TaskBuilding_11,Building_64
Building_64,TaskBuilding_11
TaskBuilding_11,Building_64
Building_64,TaskBuilding_11
TaskBuilding_12,Building_64
Building_64,TaskBuilding_12
Building_57,Building_64
Building_61,Building_57
TaskBuilding_12,Building_61
Church-TaskBuilding_16,TaskBuilding_12
Building_121,Church-TaskBuilding_16
TaskBuilding_1,Building_121
Building_87,TaskBuilding_1
TaskBuilding_3,Building_87
Building_105,TaskBuilding_3
TaskBuilding_3,Building_105
Building_104,TaskBuilding_3
Building_94,Building_104
Building_96,Building_94
TaskBuilding_18,Building_96
Building_94,TaskBuilding_18
TaskBuilding_18,Building_94
Building_96,TaskBuilding_18
TaskBuilding_14,Building_96
House_10,TaskBuilding_14
TaskBuilding_14,House_10
Building_94,TaskBuilding_14
Building_91,Building_94
TaskBuilding_19,Building_91
Building_101,TaskBuilding_19
TaskBuilding_29,Building_101
Building_92,TaskBuilding_29
Building_176,Building_92
Building_93,Building_176
Building_177,Building_93
Building_189,Building_177
Building_179,Building_189
Garage_185,Building_179
TaskBuilding_50,Garage_185
TaskBuilding_52,TaskBuilding_50
Building_198,TaskBuilding_52
TaskBuilding_50,Building_198
Building_198,TaskBuilding_50
TaskBuilding_50,Building_198
Building_198,TaskBuilding_50
Building_199,Building_198
Building_209,Building_199
Building_215,Building_209
Building_236,Building_215
TaskBuilding_48,Building_236
Building_221,TaskBuilding_48
Building_223,Building_221
TaskBuilding_7,Building_223
Building_221,TaskBuilding_7
Building_231,Building_221
TaskBuilding_39,Building_231
Building_141,TaskBuilding_39
Building_150,Building_141
TaskBuilding_35,Building_150
HighSilo-TaskBuilding_49,TaskBuilding_35
TaskBuilding_35,HighSilo-TaskBuilding_49
Building_171,TaskBuilding_35
Building_167,Building_171
TaskBuilding_42,Building_167
Building_175,TaskBuilding_42
TaskBuilding_42,Building_175
Building_173,TaskBuilding_42
Building_172,Building_173
TaskBuilding_40,Building_172
TaskBuilding_41,TaskBuilding_40
Building_170,TaskBuilding_41
TaskBuilding_41,Building_170
TaskBuilding_40,TaskBuilding_41
Building_102,TaskBuilding_40
Building_176,Building_102
Building_102,Building_176
Building_92,Building_102
TaskBuilding_29,Building_92
Building_94,TaskBuilding_29
Building_91,Building_94
Windmill-TaskBuilding_10_1,Building_91
Building_94,Windmill-TaskBuilding_10_1
Windmill-TaskBuilding_10_1,Building_94
Building_89,Windmill-TaskBuilding_10_1
NoHit,Building_89
Building_74,NoHit
TaskBuilding_14,NoHit
