Edge1,Edge2
Building_233,TaskBuilding_39
Building_226,Building_233
Building_231,Building_226
Building_230,Building_231
Building_231,Building_230
TaskBuilding_36,Building_231
Building_230,TaskBuilding_36
Building_229,Building_230
Building_227,Building_229
Building_225,Building_227
Building_226,Building_225
Building_229,Building_226
TaskBuilding_32,Building_229
Building_132,TaskBuilding_32
TaskBuilding_4,Building_132
Building_137,TaskBuilding_4
Building_138,Building_137
Building_137,Building_138
TaskBuilding_39,Building_137
Building_124,TaskBuilding_39
Building_123,Building_124
TaskBuilding_4,Building_123
Building_121,TaskBuilding_4
TaskBuilding_22,Building_121
Building_113,TaskBuilding_22
TaskBuilding_22,Building_113
Building_110,TaskBuilding_22
Building_111,Building_110
Building_112,Building_111
TaskBuilding_26,Building_112
Building_111,TaskBuilding_26
Building_87,Building_111
TaskBuilding_17,Building_87
Building_87,TaskBuilding_17
Building_85,Building_87
Building_86,Building_85
TaskBuilding_24,Building_86
Building_110,TaskBuilding_24
TaskBuilding_24,Building_110
Building_108,TaskBuilding_24
TaskBuilding_26,Building_108
Building_146,TaskBuilding_26
TaskBuilding_39,Building_146
Building_145,TaskBuilding_39
TaskBuilding_44,Building_145
Building_141,TaskBuilding_44
TaskBuilding_33,Building_141
Building_144,TaskBuilding_33
TaskBuilding_39,Building_144
Building_152,TaskBuilding_39
TaskBuilding_39,Building_233
