Edge1,Edge2
Building_81,TaskBuilding_4
Building_68,Building_81
House_10,Building_68
Building_90,House_10
TaskBuilding_2,Building_90
Windmill-TaskBuilding_10_1,TaskBuilding_2
Building_90,Windmill-TaskBuilding_10_1
Building_91,Building_90
Building_94,Building_91
Building_91,Building_94
Building_176,Building_91
Building_94,Building_176
Building_176,Building_94
Building_92,Building_176
TaskBuilding_19,Building_92
Building_94,TaskBuilding_19
Building_176,Building_94
TaskBuilding_19,Building_176
TaskBuilding_29,TaskBuilding_19
Building_92,TaskBuilding_29
Building_176,Building_92
HighSilo-TaskBuilding_49,Building_176
TaskBuilding_38,HighSilo-TaskBuilding_49
NoHit,TaskBuilding_38
TaskBuilding_38,NoHit
NoHit,TaskBuilding_38
TaskBuilding_38,NoHit
HighSilo-TaskBuilding_49,TaskBuilding_38
TaskBuilding_38,HighSilo-TaskBuilding_49
NoHit,TaskBuilding_38
HighSilo-TaskBuilding_49,NoHit
Building_177,HighSilo-TaskBuilding_49
Building_180,Building_177
Building_178,Building_180
Building_179,Building_178
Building_188,Building_179
Building_185,Building_188
Building_179,Building_185
Garage_185,Building_179
Building_177,Garage_185
Building_180,Building_177
Building_177,Building_180
Building_179,Building_177
HighSilo-TaskBuilding_49,Building_179
Building_186,HighSilo-TaskBuilding_49
TaskBuilding_51,Building_186
Building_186,TaskBuilding_51
Building_187,Building_186
Building_189,Building_187
TaskBuilding_50,Building_189
Building_172,TaskBuilding_50
Building_171,Building_172
TaskBuilding_46,Building_171
Building_171,TaskBuilding_46
TaskBuilding_50,Building_171
Building_212,TaskBuilding_50
TaskBuilding_50,Building_212
Building_198,TaskBuilding_50
Building_208,Building_198
TaskBuilding_50,Building_208
Building_212,TaskBuilding_50
Building_209,Building_212
Building_212,Building_209
Building_214,Building_212
Building_208,Building_214
Building_199,Building_208
Building_208,Building_199
TaskBuilding_55,Building_208
Building_201,TaskBuilding_55
TaskBuilding_55,Building_201
Building_209,TaskBuilding_55
Building_210,Building_209
Building_209,Building_210
Building_210,Building_209
crane_2,Building_210
Building_215,crane_2
Building_209,Building_215
Building_210,Building_209
Building_209,Building_210
Building_210,Building_209
Building_215,Building_210
NoHit,Building_215
crane_2,NoHit
Castle-TaskBuilding_56,crane_2
crane_2,Castle-TaskBuilding_56
Building_216,crane_2
TaskBuilding_53,Building_216
Building_218,TaskBuilding_53
Building_215,Building_218
Building_154,Building_215
Building_236,Building_154
TaskBuilding_48,Building_236
Building_215,TaskBuilding_48
Building_154,Building_215
Building_236,Building_154
Building_220,Building_236
Building_226,Building_220
Building_220,Building_226
Building_231,Building_220
Building_226,Building_231
Building_221,Building_226
Building_220,Building_221
TaskBuilding_48,Building_220
Building_214,TaskBuilding_48
Building_220,Building_214
Building_223,Building_220
TaskBuilding_7,Building_223
NoHit,TaskBuilding_7
Building_236,NoHit
Building_225,Building_236
Building_226,Building_225
Building_225,Building_226
Building_229,Building_225
Building_225,Building_229
Building_231,Building_225
Building_225,Building_231
TaskBuilding_45,Building_225
Garage_224,TaskBuilding_45
Building_225,Garage_224
Building_229,Building_225
Building_226,Building_229
Building_227,Building_226
TaskBuilding_32,Building_227
Building_133,TaskBuilding_32
Building_229,Building_133
Building_132,Building_229
TaskBuilding_4,Building_132
Building_143,TaskBuilding_4
Building_124,Building_143
Building_122,Building_124
TaskBuilding_4,Building_122
Building_123,TaskBuilding_4
TaskBuilding_4,Building_81
