Edge1,Edge2
Building_186,TaskBuilding_7
Building_194,Building_186
Building_197,Building_194
Building_187,Building_197
Building_201,Building_187
Building_194,Building_201
Building_187,Building_194
Building_209,Building_187
Castle-TaskBuilding_56,Building_209
Building_210,Castle-TaskBuilding_56
Building_198,Building_210
TaskBuilding_50,Building_198
TaskBuilding_46,TaskBuilding_50
Building_171,TaskBuilding_46
Building_175,Building_171
TaskBuilding_50,Building_175
TaskBuilding_47,TaskBuilding_50
TaskBuilding_50,TaskBuilding_47
Building_198,TaskBuilding_50
TaskBuilding_50,Building_198
Building_208,TaskBuilding_50
Building_202,Building_208
TaskBuilding_52,Building_202
Building_212,TaskBuilding_52
Building_209,Building_212
Building_208,Building_209
Building_209,Building_208
Building_212,Building_209
Building_214,Building_212
Building_212,Building_214
Building_199,Building_212
Building_198,Building_199
Building_209,Building_198
Building_208,Building_209
Building_199,Building_208
Building_209,Building_199
Building_213,Building_209
Building_209,Building_213
Building_210,Building_209
crane_2,Building_210
Building_210,crane_2
Building_220,Building_210
Building_214,Building_220
Building_208,Building_214
Building_199,Building_208
Building_208,Building_199
Building_209,Building_208
Building_207,Building_209
Building_206,Building_207
Building_209,Building_206
Building_210,Building_209
Building_220,Building_210
Building_236,Building_220
Building_215,Building_236
Building_210,Building_215
Building_215,Building_210
Building_214,Building_215
Building_176,Building_214
Building_215,Building_176
Building_211,Building_215
TaskBuilding_8,Building_211
Building_215,TaskBuilding_8
Building_214,Building_215
TaskBuilding_50,Building_214
Building_171,TaskBuilding_50
Building_176,Building_171
TaskBuilding_40,Building_176
Building_171,TaskBuilding_40
Building_169,Building_171
Building_171,Building_169
Building_212,Building_171
TaskBuilding_50,Building_212
TaskBuilding_47,TaskBuilding_50
crane_1,TaskBuilding_47
Building_174,crane_1
TaskBuilding_50,Building_174
TaskBuilding_47,TaskBuilding_50
Building_174,TaskBuilding_47
Building_169,Building_174
Building_235,Building_169
TaskBuilding_48,Building_235
Building_214,TaskBuilding_48
Building_236,Building_214
Building_235,Building_236
Building_154,Building_235
Building_139,Building_154
Building_154,Building_139
Building_235,Building_154
Building_236,Building_235
TaskBuilding_45,Building_236
Building_236,TaskBuilding_45
TaskBuilding_43,Building_236
NoHit,TaskBuilding_43
Building_230,NoHit
Building_235,Building_230
Building_236,Building_235
TaskBuilding_53,Building_236
Building_236,TaskBuilding_53
Building_139,Building_236
Building_228,Building_139
Building_229,Building_228
TaskBuilding_44,Building_229
Building_232,TaskBuilding_44
Building_138,Building_232
Building_230,Building_138
TaskBuilding_44,Building_230
Building_232,TaskBuilding_44
Building_142,Building_232
Building_230,Building_142
Building_232,Building_230
Building_233,Building_232
Building_223,Building_233
TaskBuilding_45,Building_223
Building_232,TaskBuilding_45
Building_230,Building_232
Building_229,Building_230
Building_228,Building_229
Building_225,Building_228
Building_231,Building_225
Building_224,Building_231
Building_223,Building_224
Building_226,Building_223
Building_231,Building_226
Garage_224,Building_231
Building_220,Garage_224
Building_215,Building_220
Garage_235,Building_215
TaskBuilding_48,Garage_235
Building_225,TaskBuilding_48
Building_227,Building_225
Building_225,Building_227
Building_226,Building_225
TaskBuilding_48,Building_226
Building_220,TaskBuilding_48
Garage_235,Building_220
TaskBuilding_48,Garage_235
Building_214,TaskBuilding_48
Building_220,Building_214
TaskBuilding_48,Building_220
Garage_235,TaskBuilding_48
TaskBuilding_44,Garage_235
Building_220,TaskBuilding_44
TaskBuilding_7,Building_220
Building_220,TaskBuilding_7
TaskBuilding_7,Building_186
