Subject,Building_100,Building_101,Building_102,Building_103,Building_104,Building_105,Building_106,Building_107,Building_108,Building_109,Building_110,Building_111,Building_112,Building_113,Building_114,Building_117,Building_118,Building_119,Building_120,Building_121,Building_122,Building_123,Building_124,Building_125,Building_126,Building_127,Building_128,Building_129,Building_130,Building_131,Building_132,Building_133,Building_134,Building_135,Building_136,Building_137,Building_138,Building_139,Building_140,Building_141,Building_142,Building_143,Building_144,Building_145,Building_146,Building_147,Building_148,Building_149,Building_150,Building_151,Building_152,Building_153,Building_154,Building_155,Building_156,Building_157,Building_158,Building_159,Building_160,Building_161,Building_162,Building_163,Building_164,Building_165,Building_166,Building_167,Building_168,Building_169,Building_170,Building_171,Building_172,Building_173,Building_174,Building_175,Building_176,Building_177,Building_178,Building_179,Building_180,Building_181,Building_182,Building_183,Building_184,Building_185,Building_186,Building_187,Building_188,Building_189,Building_190,Building_191,Building_192,Building_193,Building_194,Building_195,Building_196,Building_197,Building_198,Building_199,Building_200,Building_201,Building_202,Building_203,Building_204,Building_205,Building_206,Building_207,Building_208,Building_209,Building_210,Building_211,Building_212,Building_213,Building_214,Building_215,Building_216,Building_217,Building_218,Building_219,Building_220,Building_221,Building_222,Building_223,Building_224,Building_225,Building_226,Building_227,Building_228,Building_229,Building_230,Building_231,Building_232,Building_233,Building_234,Building_235,Building_236,Building_57,Building_58,Building_59,Building_60,Building_61,Building_62,Building_63,Building_64,Building_65,Building_66,Building_67,Building_68,Building_69,Building_70,Building_71,Building_72,Building_73,Building_74,Building_75,Building_76,Building_77,Building_78,Building_79,Building_80,Building_81,Building_82,Building_83,Building_84,Building_85,Building_86,Building_87,Building_88,Building_89,Building_90,Building_91,Building_92,Building_93,Building_94,Building_95,Building_96,Building_97,Building_98,Building_99,Building_combined_115_116,Castle-TaskBuilding_56,Church-TaskBuilding_16,Garage_185,Garage_224,Garage_235,Garage_86,Garage_98,HighSilo-TaskBuilding_49,House_10,House_49,TaskBuilding_1,TaskBuilding_11,TaskBuilding_12,TaskBuilding_13,TaskBuilding_14,TaskBuilding_15,TaskBuilding_17,TaskBuilding_18,TaskBuilding_19,TaskBuilding_2,TaskBuilding_20,TaskBuilding_21,TaskBuilding_22,TaskBuilding_23,TaskBuilding_24,TaskBuilding_25,TaskBuilding_26,TaskBuilding_27,TaskBuilding_28,TaskBuilding_29,TaskBuilding_3,TaskBuilding_30,TaskBuilding_31,TaskBuilding_32,TaskBuilding_33,TaskBuilding_34,TaskBuilding_35,TaskBuilding_36,TaskBuilding_37,TaskBuilding_38,TaskBuilding_39,TaskBuilding_4,TaskBuilding_40,TaskBuilding_41,TaskBuilding_42,TaskBuilding_43,TaskBuilding_44,TaskBuilding_45,TaskBuilding_46,TaskBuilding_47,TaskBuilding_48,TaskBuilding_5,TaskBuilding_50,TaskBuilding_51,TaskBuilding_52,TaskBuilding_53,TaskBuilding_54,TaskBuilding_55,TaskBuilding_6,TaskBuilding_7,TaskBuilding_8,TaskBuilding_9,Windmill-TaskBuilding_10_1,crane_1,crane_2,Mean,STD
1005,16,21,15,11,21,6,5,15,17,19,18,4,9,19,9,10,6,2,3,16,19,19,12,12,5,9,18,,10,19,12,13,6,11,20,18,10,21,14,13,14,13,5,20,11,16,18,9,16,9,24,10,30,20,9,22,23,11,12,13,21,22,15,11,23,16,10,15,13,26,13,11,16,3,28,8,14,5,11,6,5,14,6,12,4,6,10,12,,1,8,5,13,8,7,10,24,13,10,12,13,14,15,13,14,10,13,12,21,19,22,16,31,23,7,3,6,10,14,3,4,5,3,11,12,4,21,18,15,9,24,12,4,10,19,4,4,3,10,2,6,8,12,3,8,9,11,4,5,9,7,8,12,5,1,,,,11,6,4,11,6,11,14,10,13,8,10,15,15,9,22,2,22,27,14,6,17,17,23,10,5,11,3,8,22,19,8,22,10,7,10,19,16,8,9,13,6,9,10,12,12,9,20,17,24,18,11,10,12,13,9,14,12,29,10,12,5,13,7,21,10,16,17,9,12,20,8,20,16,23,8,7,9,16,12,16,4,11,12,21,14,7,12.351464435146443,6.166620973675415
1008,18,28,23,11,27,12,14,16,21,29,27,12,14,22,16,15,12,8,6,12,29,23,22,25,10,12,15,2,10,28,16,15,8,18,11,21,14,23,13,26,20,21,7,31,13,20,17,12,19,13,26,12,36,22,12,30,21,9,12,20,20,22,17,17,28,14,16,14,20,34,19,17,18,17,35,12,18,7,18,7,5,17,7,11,16,14,15,13,2,3,15,6,19,12,8,13,34,12,13,15,14,17,14,21,15,12,17,10,23,21,29,21,29,27,18,5,6,11,18,3,6,10,6,20,12,4,23,27,23,11,19,18,8,18,19,6,5,4,6,2,9,9,13,4,6,13,8,6,4,9,10,6,16,13,1,6,3,9,10,10,13,12,9,15,18,19,14,9,12,23,19,16,26,4,24,35,33,7,22,17,22,10,10,12,3,14,46,24,19,18,10,7,6,25,13,18,14,14,7,13,15,18,21,24,14,15,28,26,13,18,22,14,8,18,15,35,16,17,7,17,14,22,12,23,18,19,20,26,17,21,21,27,17,15,9,16,16,18,12,10,11,14,28,11,15.778688524590164,7.604430477163145
1010,15,22,15,15,19,9,6,10,22,26,17,5,9,19,6,12,4,6,,11,13,20,18,15,6,9,18,2,12,23,10,18,6,16,9,18,16,19,12,18,15,9,7,22,12,16,21,8,13,5,16,10,35,19,3,26,17,12,13,16,19,20,18,19,20,9,8,10,16,25,11,12,15,6,36,15,19,9,22,5,2,13,11,16,13,14,16,8,2,5,14,8,16,11,6,12,27,12,9,18,8,16,15,16,13,14,15,16,23,19,32,22,32,23,13,5,11,15,19,6,14,9,11,23,16,6,22,27,21,23,20,20,9,16,15,5,8,10,12,11,8,9,16,10,7,9,12,8,3,11,12,8,11,11,,3,3,11,10,15,2,14,6,9,17,6,8,9,13,22,17,13,23,,22,32,20,10,12,23,24,11,11,7,4,12,37,20,14,20,10,8,13,17,17,8,15,15,5,11,19,12,20,16,16,14,23,13,11,9,23,15,7,13,13,31,15,14,7,19,14,19,13,17,14,21,26,26,15,24,17,28,12,12,9,13,14,21,10,12,13,18,17,8,14.257261410788383,6.61691323822619
1011,16,22,15,10,17,6,12,11,18,19,12,5,7,11,13,10,12,4,2,10,11,25,13,16,7,7,12,,7,14,11,18,6,10,15,17,14,25,9,20,18,14,10,23,13,25,16,7,25,11,21,15,40,18,7,27,18,9,12,13,22,21,17,11,27,13,14,14,16,22,15,13,12,11,31,12,15,9,18,7,4,15,10,8,9,11,14,14,,5,14,4,13,11,9,10,24,12,10,13,12,16,14,16,12,14,17,11,22,20,21,21,33,19,11,6,7,11,17,6,12,11,8,25,10,5,16,25,19,21,25,28,7,16,19,8,8,6,8,7,7,8,15,3,6,12,12,9,3,11,9,6,14,9,4,2,3,5,14,11,7,17,8,10,16,5,11,9,11,13,15,7,17,2,15,25,20,8,12,19,15,6,10,10,3,14,31,24,8,12,8,5,16,23,15,15,13,11,4,8,12,12,6,16,11,17,22,23,9,10,18,13,7,10,11,31,16,14,8,21,9,21,9,12,14,19,16,24,14,23,16,22,7,17,7,17,10,18,10,11,12,13,19,5,13.40495867768595,6.392524825899205
1013,15,20,16,11,16,7,11,10,16,20,21,5,11,17,12,8,10,5,,12,19,19,13,17,10,13,11,2,15,17,10,15,8,12,11,17,15,23,13,14,20,13,7,18,12,13,12,7,14,13,22,13,29,19,10,24,23,13,17,16,18,24,18,13,20,10,11,13,16,29,12,10,12,9,31,14,15,10,17,3,5,14,6,13,12,16,13,14,2,4,15,5,17,10,10,13,27,11,14,14,15,12,12,13,11,12,14,11,18,21,31,13,18,19,15,2,4,11,20,4,4,6,3,15,10,4,18,20,14,11,21,12,6,15,17,2,3,3,9,9,7,10,15,7,10,7,7,11,5,10,10,10,13,10,5,6,5,7,11,10,13,15,12,11,20,8,13,10,10,9,16,11,23,3,18,27,15,5,14,11,19,13,5,11,8,10,21,20,17,13,11,7,11,17,15,14,13,13,7,9,13,10,12,17,14,23,23,21,10,13,18,14,5,10,13,32,9,17,10,17,10,22,13,18,16,18,21,22,16,18,13,19,9,22,7,17,9,23,10,9,15,14,18,10,13.22633744855967,5.729635674284893
1017,14,18,13,13,23,10,13,14,15,26,19,9,7,21,11,8,7,5,5,10,24,17,23,19,8,10,13,2,10,28,11,14,4,13,5,19,14,21,10,23,19,17,7,29,15,23,19,12,23,7,27,9,41,14,9,19,14,5,10,9,14,19,10,14,20,11,15,15,9,24,9,12,12,10,28,3,14,2,12,4,5,15,6,15,2,11,10,9,,4,12,4,9,6,7,13,14,13,7,13,11,7,9,15,12,7,11,10,15,16,17,13,29,15,9,4,6,7,19,5,11,11,10,15,11,3,24,27,20,17,20,19,8,14,18,4,5,4,9,6,6,8,15,7,7,11,9,9,4,13,11,10,10,9,3,1,5,8,20,3,6,19,13,11,19,12,13,10,8,15,13,11,23,6,20,24,31,11,15,11,14,5,8,12,6,8,18,21,6,21,10,9,9,26,14,13,12,10,2,11,11,13,15,12,15,29,18,17,8,12,14,17,8,11,10,24,11,15,2,22,11,14,10,18,12,21,18,21,7,25,14,19,5,12,7,11,13,19,10,8,16,15,18,5,12.798353909465021,6.477908849645321
1021,16,20,15,8,22,10,2,10,13,19,13,3,6,16,14,8,8,5,2,7,18,17,12,18,,5,11,2,8,19,16,14,2,7,12,17,6,18,15,18,14,9,6,28,9,26,13,8,15,13,18,14,35,18,13,29,13,11,11,14,19,15,14,12,23,12,15,10,15,21,12,14,14,3,29,10,18,6,13,5,11,13,8,13,11,12,10,10,1,4,13,5,16,15,8,14,23,12,9,16,14,14,13,9,11,12,15,14,17,13,23,15,29,23,11,4,2,9,15,,2,7,4,15,10,6,12,24,15,19,13,18,5,16,15,5,2,2,4,4,5,10,14,4,3,7,7,5,2,3,7,7,8,6,1,4,,7,10,6,6,10,8,15,14,11,9,13,10,13,15,12,17,3,19,29,22,10,9,16,22,9,5,7,9,6,38,20,14,14,9,6,13,26,10,13,14,14,2,7,9,10,13,11,9,18,18,13,9,14,12,11,9,10,15,23,14,18,6,14,10,19,7,13,10,24,15,23,12,19,12,21,10,14,5,13,11,19,4,4,8,22,25,13,12.273858921161827,6.416101266606315
1023,20,22,21,13,27,15,8,19,19,27,20,11,9,24,10,10,11,5,4,14,16,26,16,22,11,14,8,,10,26,13,17,5,15,10,22,12,24,13,15,22,16,12,23,19,27,22,11,17,13,25,17,30,17,9,23,23,11,17,18,24,23,21,15,25,14,21,13,22,34,16,9,11,8,34,12,20,10,15,4,5,17,7,11,12,19,13,12,,2,13,3,16,12,11,15,28,13,14,16,16,17,15,20,15,10,11,13,20,28,25,18,25,19,11,5,6,9,21,4,9,11,6,25,14,3,21,26,20,17,16,23,8,12,28,4,10,6,10,6,7,7,19,4,5,16,12,3,5,17,11,8,18,10,6,2,2,8,18,11,14,17,15,17,15,11,17,14,15,19,16,7,28,3,29,33,24,6,16,13,29,10,7,17,8,16,21,28,14,19,10,9,19,30,20,18,16,16,8,10,17,23,15,24,17,31,29,26,9,23,20,21,14,18,13,30,15,24,6,21,16,25,13,16,18,20,16,21,14,22,17,18,13,15,7,12,16,23,16,11,20,21,23,7,15.652892561983471,6.987494156413982
Mean,16.25,21.625,16.625,11.5,21.5,9.375,8.875,13.125,17.625,23.125,18.375,6.75,9.0,18.625,11.375,10.125,8.75,5.0,3.6666666666666665,11.5,18.625,20.75,16.125,18.0,8.142857142857142,9.875,13.25,2.0,10.25,21.75,12.375,15.5,5.625,12.75,11.625,18.625,12.625,21.75,12.375,18.375,17.75,14.0,7.625,24.25,13.0,20.75,17.25,9.25,17.75,10.5,22.375,12.5,34.5,18.375,9.0,25.0,19.0,10.125,13.0,14.875,19.625,20.75,16.25,14.0,23.25,12.375,13.75,13.0,15.875,26.875,13.375,12.25,13.75,8.375,31.5,10.75,16.625,7.25,15.75,5.125,5.25,14.75,7.625,12.375,9.875,12.875,12.625,11.5,1.75,3.5,13.0,5.0,14.875,10.625,8.25,12.5,25.125,12.25,10.75,14.625,12.875,14.125,13.375,15.375,12.875,11.375,14.125,12.125,19.875,19.625,25.0,17.375,28.25,21.0,11.875,4.25,6.0,10.375,17.875,4.428571428571429,7.75,8.75,6.375,18.625,11.875,4.375,19.625,24.25,18.375,16.0,19.75,18.75,6.875,14.625,18.75,4.75,5.625,4.75,8.5,5.875,6.875,8.625,14.875,5.25,6.5,10.5,9.75,6.875,3.875,10.375,9.625,7.875,12.75,9.125,3.0,3.4285714285714284,3.5,7.857142857142857,13.0,9.0,8.125,14.375,9.625,12.375,16.625,10.25,12.25,10.25,11.125,16.125,15.75,10.75,22.375,3.2857142857142856,21.125,29.0,22.375,7.875,14.625,15.875,21.0,9.25,7.625,10.875,5.5,11.0,29.25,22.0,12.5,17.375,9.75,7.25,12.125,22.875,15.0,13.375,13.25,13.25,5.125,9.75,13.25,13.75,14.25,16.125,14.5,20.5,23.125,19.625,10.0,13.625,17.375,14.75,8.375,13.0,12.75,29.375,13.25,16.375,6.375,18.0,11.375,20.375,10.875,16.625,14.875,18.875,18.0,22.875,12.875,21.5,15.75,22.125,10.125,14.25,7.5,14.375,12.625,19.625,9.5,9.5,13.375,17.25,20.25,8.25,13.631903786104607,5.9675582124718956
STD,1.9086270308410553,2.9246489410818914,3.4615231989895516,2.138089935299395,4.140393356054125,3.113908889391045,4.2907708265199025,3.399054490379851,3.020761493398643,4.257346591481601,4.718883039751796,3.4121631178560534,2.5634797778466227,4.033343171967536,3.113908889391045,2.416461403433896,2.9640705601780613,1.6903085094570331,1.632993161855452,2.7255405754769875,5.7802001942592165,3.494894235064305,4.454131308603925,4.0708019567928595,2.2677868380553634,3.044315545875155,3.5355339059327378,0.0,2.434865792722759,5.284748946598261,2.445841952609133,1.927248223318863,1.9955307206712847,3.5355339059327378,4.405759217854998,1.9226098333849673,3.2486260832190936,2.434865792722759,1.9955307206712847,4.50198368975912,3.058944729337694,4.035556254807296,2.2638462845343543,4.590362575159894,2.9760952365713798,5.284748946598261,3.5355339059327378,2.1213203435596424,4.301162633521313,3.1622776601683795,3.8890872965260113,2.7774602993176543,4.566962103755937,2.326094212561969,3.070597894314954,3.7032803990902057,4.105745103771404,2.4748737341529163,2.6186146828319083,3.399054490379851,2.9730936268953445,2.815771906346718,3.2841611235921855,2.878491668515698,3.1959796173138706,2.326094212561969,4.06201920231798,2.0,3.9798600118956085,5.02671434864337,3.1594529363709247,2.49284690951645,2.434865792722759,4.596194077712559,3.1622776601683795,3.8078865529319543,2.38671920665766,2.815771906346718,3.693623849670827,1.4577379737113252,2.5495097567963922,1.5811388300841898,1.9226098333849673,2.5035688811888406,4.703721930556695,3.8706773124535787,2.38671920665766,2.2677868380553634,0.5,1.4142135623730951,2.2677868380553634,1.5118578920369088,3.090885217631258,2.7222627143085005,1.6690459207925603,1.7728105208558367,5.667892024377317,0.7071067811865476,2.6049403612586386,1.9955307206712847,2.5319388392523003,3.3567628964311944,2.065879266282796,3.8890872965260113,1.6420805617960927,2.326094212561969,2.356601669474803,2.100170061141308,2.948970764763288,4.34042460069124,5.264435935053794,3.6620642110310255,4.803272693844122,3.7032803990902057,3.440826312717007,1.2817398889233114,2.5634797778466227,2.326094212561969,2.416461403433896,1.2724180205607039,4.367084676466507,2.434865792722759,3.0676887530703447,5.343554194407635,2.1671244937540095,1.1877349391654208,4.033343171967536,3.453776401067595,3.2923070504261465,5.1269595556932455,3.9188190640986296,5.311712126450916,1.7268882005337975,2.559994419636775,4.0970372570571385,1.7525491637693282,2.774243783705493,2.5495097567963922,2.5071326821120348,3.181980515339464,1.246423454758225,1.0606601717798212,2.100170061141308,2.49284690951645,2.0701966780270626,3.116774889895918,2.2519832529192065,2.799872446074234,1.1259916264596033,3.9618718519695424,1.8468119248354136,1.5526475085202969,3.24037034920393,2.5877458475338284,2.0816659994661326,1.9880595947760098,1.224744871391589,1.864454471471609,3.9641248358604595,3.779644730092272,4.580626906564522,3.2043497223082786,3.3354160160315836,2.8753881725529062,2.2638462845343543,4.334248987508019,2.866057521105554,2.1213203435596424,2.1671244937540095,4.823676724538776,1.7525491637693282,3.058944729337694,3.8521793460696654,1.3801311186847083,4.223657859520077,3.9641248358604595,6.823017765517794,2.2320714274285347,3.9256482631170977,4.120939559996343,4.898979485566356,2.6049403612586386,2.5035688811888406,3.181980515339464,2.5634797778466227,3.5456210417116734,10.250435530816658,3.070597894314954,4.65985898008574,3.8521793460696654,0.8864052604279183,1.3887301496588271,4.086126352846737,4.764076885549662,2.9277002188455996,3.8521793460696654,2.1213203435596424,1.9820624179302297,2.295181287579947,1.9086270308410553,3.494894235064305,4.496029994816062,4.77343841331532,5.5917669070569405,3.4226138716316967,6.458659745975609,4.0155946010522525,5.2355242608275905,1.6035674514745464,4.749060057376767,4.307385683749649,3.058944729337694,2.615202805574687,3.4226138716316967,1.7525491637693282,4.033343171967536,2.815771906346718,3.6620642110310255,2.326094212561969,3.3380918415851206,3.020761493398643,3.2043497223082786,2.2320714274285347,3.3779748793788102,2.9001231500945415,4.38951673226759,4.3094580368566735,2.295181287579947,3.6425069859723185,2.449489742783178,2.815771906346718,3.720119045714225,3.7961446607992015,4.334248987508019,1.4142135623730951,2.38671920665766,2.615202805574687,2.5035688811888406,3.9641248358604595,2.5634797778466227,3.6228441865473595,3.693623849670827,4.652188425123938,2.866057521105554,3.114443055048885,1.2244710429753207
