PathNumber,ColliderName,Samples,timeDiff,Index
0,NoHouse,252,3.7700912952423096,0
0,Building_219,1,0.021823883056640625,1
0,NoHouse,1,0.022320032119750977,2
0,Building_219,1,0.022319793701171875,3
0,NoHouse,1,0.010912179946899414,4
0,Building_219,1,0.011408090591430664,5
0,NoHouse,2,0.021824121475219727,6
0,Building_219,1,0.011407613754272461,7
0,NoHouse,3,0.055552005767822266,8
0,Building_219,1,0.022320270538330078,9
0,NoHouse,26,0.43300724029541016,10
0,TaskBuilding_53,15,0.24403166770935059,11
0,NoHouse,19,0.2668473720550537,12
0,TaskBuilding_53,37,0.6438076496124268,13
0,NoHouse,102,1.566366195678711,14
0,TaskBuilding_53,24,0.3561275005340576,15
0,NoHouse,19,0.2658553123474121,16
0,TaskBuilding_53,11,0.2108001708984375,17
0,NoHouse,1,0.022319555282592773,18
0,TaskBuilding_53,13,0.22220802307128906,19
0,NoHouse,23,0.3551352024078369,20
0,TaskBuilding_53,36,0.5446076393127441,21
0,NoHouse,14,0.24403142929077148,22
0,TaskBuilding_53,1,0.011408090591430664,23
0,NoHouse,2,0.022319793701171875,24
0,TaskBuilding_53,2,0.0441441535949707,25
0,NoHouse,3,0.0441439151763916,26
0,TaskBuilding_53,1,0.011407852172851562,27
0,NoHouse,325,5.186169862747192,28
0,TaskBuilding_53,12,0.1998882293701172,29
0,NoHouse,499,8.10810136795044,30
1,NoHouse,64,1.0043985843658447,31
1,Building_212,8,0.11110401153564453,32
1,Building_213,1,0.022319793701171875,33
1,Building_212,7,0.14433598518371582,34
1,Building_213,2,0.03323197364807129,35
1,Building_212,8,0.12201595306396484,36
1,HighSilo-TaskBuilding_49,6,0.07787179946899414,37
1,Building_212,4,0.05555152893066406,38
1,HighSilo-TaskBuilding_49,3,0.044640302658081055,41
1,Building_212,6,0.06646394729614258,42
1,HighSilo-TaskBuilding_49,1,0.022320032119750977,43
1,Building_212,4,0.06646347045898438,44
1,Building_215,2,0.022320270538330078,45
1,Building_216,11,0.1666560173034668,46
1,NoHouse,18,0.2772636413574219,47
1,Building_216,16,0.2777595520019531,48
1,Building_217,1,0.010911941528320312,49
1,Building_216,57,0.7777273654937744,50
1,NoHouse,23,0.3109912872314453,51
1,Building_213,1,0.010911703109741211,52
1,NoHouse,23,0.38886404037475586,53
1,Building_213,1,0.022319793701171875,54
1,NoHouse,249,3.898554801940918,55
1,Building_213,15,0.26635217666625977,56
1,NoHouse,5,0.07787156105041504,57
1,Building_212,1,0.012895822525024414,58
1,NoHouse,2,0.03124833106994629,59
1,Building_212,3,0.04463982582092285,60
1,NoHouse,12,0.18847966194152832,61
1,Building_212,6,0.08878397941589355,62
1,NoHouse,6,0.1225118637084961,63
1,Building_212,1,0.011408329010009766,64
1,NoHouse,2,0.03273582458496094,65
1,Building_212,1,0.010912179946899414,66
1,NoHouse,1,0.011407613754272461,67
1,Building_212,3,0.03323221206665039,68
1,NoHouse,24,0.38886308670043945,69
1,Building_214,10,0.14433598518371582,70
1,NoHouse,1,0.022320032119750977,71
1,Building_214,1,0.010911941528320312,72
1,NoHouse,1,0.011407852172851562,73
1,Building_215,34,0.5550234317779541,74
1,NoHouse,1,0.022320032119750977,75
1,Building_215,2,0.03372812271118164,76
1,NoHouse,1,0.010911703109741211,77
1,Building_155,2,0.022319793701171875,78
1,NoHouse,11,0.18848013877868652,79
1,Building_156,1,0.022319793701171875,80
1,NoHouse,3,0.03323221206665039,81
1,TaskBuilding_43,1,0.011407852172851562,82
1,NoHouse,1,0.021824121475219727,83
1,TaskBuilding_43,7,0.0892796516418457,84
1,Building_156,1,0.022320032119750977,85
1,TaskBuilding_43,2,0.03273582458496094,86
