Edge1,Edge2
Windmill-TaskBuilding_10_1,TaskBuilding_53
Building_94,Windmill-TaskBuilding_10_1
Building_96,Building_94
Building_91,Building_96
Building_94,Building_91
Building_92,Building_94
Building_176,Building_92
NoHit,Building_176
Building_176,NoHit
Building_103,Building_176
Building_176,Building_103
TaskBuilding_34,Building_176
TaskBuilding_38,TaskBuilding_34
Building_176,TaskBuilding_38
Building_160,Building_176
TaskBuilding_46,Building_160
Building_160,TaskBuilding_46
Building_161,Building_160
Building_164,Building_161
TaskBuilding_46,Building_164
NoHit,TaskBuilding_46
Building_210,NoHit
Building_170,Building_210
TaskBuilding_46,Building_170
Castle-TaskBuilding_56,TaskBuilding_46
Building_171,Castle-TaskBuilding_56
TaskBuilding_41,Building_171
Building_171,TaskBuilding_41
TaskBuilding_41,Building_171
Building_170,TaskBuilding_41
Building_163,Building_170
Building_164,Building_163
Building_165,Building_164
TaskBuilding_35,Building_165
Building_165,TaskBuilding_35
Building_164,Building_165
TaskBuilding_35,Building_164
Building_98,TaskBuilding_35
Building_152,Building_98
Building_98,Building_152
crane_1,Building_98
Building_155,crane_1
TaskBuilding_33,Building_155
Building_152,TaskBuilding_33
Building_143,Building_152
Building_145,Building_143
NoHit,Building_145
crane_1,NoHit
NoHit,crane_1
Building_155,NoHit
Building_153,Building_155
TaskBuilding_33,Building_153
Building_143,TaskBuilding_33
Building_141,Building_143
TaskBuilding_33,Building_141
Building_143,TaskBuilding_33
Building_141,Building_143
TaskBuilding_39,Building_141
TaskBuilding_44,TaskBuilding_39
TaskBuilding_45,TaskBuilding_44
TaskBuilding_44,TaskBuilding_45
Building_222,TaskBuilding_44
TaskBuilding_7,Building_222
Garage_235,TaskBuilding_7
TaskBuilding_45,Garage_235
Building_222,TaskBuilding_45
Building_220,Building_222
TaskBuilding_7,Building_220
Building_220,TaskBuilding_7
TaskBuilding_7,Building_220
Building_214,TaskBuilding_7
Garage_235,Building_214
TaskBuilding_44,Garage_235
Building_225,TaskBuilding_44
Building_229,Building_225
Building_227,Building_229
Building_231,Building_227
Building_233,Building_231
Building_232,Building_233
Building_140,Building_232
Building_154,Building_140
Building_234,Building_154
TaskBuilding_44,Building_234
Building_154,TaskBuilding_44
TaskBuilding_44,Building_154
Building_139,TaskBuilding_44
Building_233,Building_139
TaskBuilding_45,Building_233
Building_139,TaskBuilding_45
Building_154,Building_139
TaskBuilding_44,Building_154
Building_228,TaskBuilding_44
Building_138,Building_228
Building_139,Building_138
Building_138,Building_139
Building_139,Building_138
Building_143,Building_139
Building_225,Building_143
Building_231,Building_225
Garage_224,Building_231
Building_233,Garage_224
Building_230,Building_233
Building_228,Building_230
Building_229,Building_228
Building_228,Building_229
Building_138,Building_228
Building_137,Building_138
TaskBuilding_4,Building_137
TaskBuilding_36,TaskBuilding_4
Building_142,TaskBuilding_36
Building_137,Building_142
Building_228,Building_137
Building_225,Building_228
