Edge1,Edge2
TaskBuilding_53,Windmill-TaskBuilding_10_1
Building_216,TaskBuilding_53
Building_213,Building_216
Building_215,Building_213
Building_154,Building_215
Building_214,Building_154
Building_213,Building_214
Building_210,Building_213
Building_226,Building_210
Building_220,Building_226
Building_154,Building_220
Building_236,Building_154
TaskBuilding_43,Building_236
NoHit,TaskBuilding_43
Building_232,NoHit
Building_98,Building_232
Building_150,Building_98
Building_157,Building_150
TaskBuilding_35,Building_157
Building_139,TaskBuilding_35
Building_138,Building_139
Building_139,Building_138
Building_228,Building_139
Building_138,Building_228
Building_139,Building_138
Building_228,Building_139
Building_139,Building_228
Building_142,Building_139
Building_140,Building_142
Building_141,Building_140
Building_225,Building_141
Building_231,Building_225
Garage_224,Building_231
Building_138,Garage_224
Building_137,Building_138
TaskBuilding_4,Building_137
Building_137,TaskBuilding_4
TaskBuilding_4,Building_137
TaskBuilding_28,TaskBuilding_4
TaskBuilding_4,TaskBuilding_28
Building_229,TaskBuilding_4
TaskBuilding_32,Building_229
Building_228,TaskBuilding_32
Building_133,Building_228
Building_228,Building_133
Building_133,Building_228
Church-TaskBuilding_16,Building_133
Building_123,Church-TaskBuilding_16
Building_126,Building_123
TaskBuilding_21,Building_126
Building_135,TaskBuilding_21
Building_136,Building_135
TaskBuilding_21,Building_136
Building_118,TaskBuilding_21
Building_125,Building_118
Church-TaskBuilding_16,Building_125
TaskBuilding_20,Church-TaskBuilding_16
Building_88,TaskBuilding_20
TaskBuilding_15,Building_88
TaskBuilding_11,TaskBuilding_15
Building_67,TaskBuilding_11
TaskBuilding_1,Building_67
Building_87,TaskBuilding_1
NoHit,Building_87
Building_83,NoHit
TaskBuilding_1,Building_83
TaskBuilding_11,TaskBuilding_1
Building_67,TaskBuilding_11
TaskBuilding_12,Building_67
TaskBuilding_11,TaskBuilding_12
Building_67,TaskBuilding_11
Building_64,Building_67
Building_67,Building_64
Building_70,Building_67
TaskBuilding_13,Building_70
TaskBuilding_12,TaskBuilding_13
Building_68,TaskBuilding_12
TaskBuilding_9,Building_68
Building_64,TaskBuilding_9
TaskBuilding_12,Building_64
TaskBuilding_11,TaskBuilding_12
Building_64,TaskBuilding_11
TaskBuilding_11,Building_64
Building_83,TaskBuilding_11
TaskBuilding_11,Building_83
Building_67,TaskBuilding_11
Building_83,Building_67
Building_67,Building_83
Building_84,Building_67
TaskBuilding_13,Building_84
Building_83,TaskBuilding_13
TaskBuilding_1,Building_83
Building_113,TaskBuilding_1
Building_104,Building_113
NoHit,Building_104
Building_77,NoHit
Building_88,Building_77
Building_87,Building_88
Building_88,Building_87
Building_87,Building_88
Building_97,Building_87
Building_86,Building_97
Building_96,Building_86
TaskBuilding_23,Building_96
Building_80,TaskBuilding_23
TaskBuilding_14,Building_80
Building_74,TaskBuilding_14
Building_96,Building_74
TaskBuilding_18,Building_96
Building_94,TaskBuilding_18
Windmill-TaskBuilding_10_1,Building_94
TaskBuilding_14,Windmill-TaskBuilding_10_1
House_10,TaskBuilding_14
Building_96,House_10
Building_94,Building_96
TaskBuilding_18,Building_94
House_10,TaskBuilding_18
Building_75,House_10
TaskBuilding_14,Building_75
Building_91,TaskBuilding_14
Building_90,Building_91
TaskBuilding_19,Building_90
Building_91,TaskBuilding_19
TaskBuilding_19,Building_91
Building_94,TaskBuilding_19
TaskBuilding_19,Building_94
Building_94,TaskBuilding_19
Building_103,Building_94
Building_91,Building_103
Building_90,Building_91
Building_89,Building_90
Building_90,Building_89
Building_63,Building_90
Building_91,Building_63
TaskBuilding_19,Building_91
Building_94,TaskBuilding_19
TaskBuilding_18,Building_94
TaskBuilding_14,TaskBuilding_18
Building_96,TaskBuilding_14
Building_176,Building_96
Building_103,Building_176
TaskBuilding_27,Building_103
TaskBuilding_29,TaskBuilding_27
Building_176,TaskBuilding_29
Building_101,Building_176
Building_102,Building_101
TaskBuilding_29,Building_102
Building_103,TaskBuilding_29
Building_91,Building_103
TaskBuilding_19,Building_91
Building_94,TaskBuilding_19
Building_103,Building_94
Building_91,Building_103
