Edge1,Edge2
TaskBuilding_6,TaskBuilding_39
Building_171,TaskBuilding_6
Building_214,Building_171
crane_2,Building_214
TaskBuilding_47,crane_2
Building_214,TaskBuilding_47
Building_172,Building_214
TaskBuilding_47,Building_172
Building_172,TaskBuilding_47
TaskBuilding_42,Building_172
Building_214,TaskBuilding_42
Building_174,Building_214
TaskBuilding_42,Building_174
Building_145,TaskBuilding_42
Building_168,Building_145
Building_173,Building_168
crane_1,Building_173
Building_152,crane_1
Building_145,Building_152
Building_152,Building_145
Building_155,Building_152
Building_173,Building_155
TaskBuilding_42,Building_173
Building_152,TaskBuilding_42
Building_175,Building_152
Building_144,Building_175
TaskBuilding_33,Building_144
Building_150,TaskBuilding_33
Building_153,Building_150
Building_141,Building_153
NoHit,Building_141
Building_152,NoHit
NoHit,Building_152
Building_141,NoHit
Building_152,Building_141
TaskBuilding_39,TaskBuilding_6
