Edge1,Edge2
NoHouse,TaskBuilding_53
Hand,NoHouse
Building_122,Hand
Building_121,Building_122
NoHouse,Building_121
Hand,NoHouse
NoHouse,Hand
Hand,NoHouse
NoHouse,Hand
Hand,NoHouse
NoHouse,Hand
Building_146,NoHouse
Building_148,Building_146
NoHouse,Building_148
Building_147,NoHouse
NoHouse,Building_147
Building_98,NoHouse
NoHouse,Building_98
NoHit,NoHouse
NoHouse,NoHit
TaskBuilding_31,NoHouse
Building_147,TaskBuilding_31
NoHouse,Building_147
Phone,NoHouse
NoHouse,Phone
Phone,NoHouse
NoHouse,Phone
Phone,NoHouse
NoHouse,Phone
TaskBuilding_35,NoHouse
NoHouse,TaskBuilding_35
NoHit,NoHouse
NoHouse,NoHit
Building_93,NoHouse
NoHouse,Building_93
House_49,NoHouse
NoHouse,House_49
Building_177,NoHouse
NoHouse,Building_177
TaskBuilding_51,NoHouse
NoHouse,TaskBuilding_51
Building_179,NoHouse
NoHouse,Building_179
Building_179,NoHouse
NoHouse,Building_179
Building_179,NoHouse
NoHouse,Building_179
Garage_185,NoHouse
Building_179,Garage_185
Garage_185,Building_179
NoHouse,Garage_185
Building_185,NoHouse
NoHouse,Building_185
Building_189,NoHouse
NoHouse,Building_189
Building_186,NoHouse
NoHouse,Building_186
TaskBuilding_51,NoHouse
NoHouse,TaskBuilding_51
Building_186,NoHouse
NoHouse,Building_186
Building_186,NoHouse
NoHouse,Building_186
Building_205,NoHouse
NoHouse,Building_205
Building_194,NoHouse
NoHouse,Building_194
Building_205,NoHouse
TaskBuilding_54,Building_205
Building_205,TaskBuilding_54
NoHouse,Building_205
TaskBuilding_54,NoHouse
Building_172,TaskBuilding_54
NoHouse,Building_172
TaskBuilding_46,NoHouse
Building_163,TaskBuilding_46
NoHouse,Building_163
TaskBuilding_46,NoHouse
NoHouse,TaskBuilding_46
Building_198,NoHouse
NoHouse,Building_198
TaskBuilding_52,NoHouse
NoHouse,TaskBuilding_52
Building_187,NoHouse
NoHouse,Building_187
Building_198,NoHouse
NoHouse,Building_198
Building_202,NoHouse
Building_203,Building_202
NoHouse,Building_203
Building_199,NoHouse
NoHouse,Building_199
Building_198,NoHouse
Building_199,Building_198
NoHouse,Building_199
Building_208,NoHouse
NoHouse,Building_208
TaskBuilding_55,NoHouse
NoHouse,TaskBuilding_55
TaskBuilding_55,NoHouse
Building_201,TaskBuilding_55
Phone,Building_201
NoHouse,Phone
TaskBuilding_55,NoHouse
Building_201,TaskBuilding_55
Building_198,Building_201
NoHouse,Building_198
Building_201,NoHouse
TaskBuilding_55,Building_201
Building_198,TaskBuilding_55
NoHouse,Building_198
TaskBuilding_52,NoHouse
NoHouse,TaskBuilding_52
Building_198,NoHouse
NoHouse,Building_198
Building_203,NoHouse
Building_205,Building_203
Building_202,Building_205
NoHouse,Building_202
Phone,NoHouse
NoHouse,Phone
Building_202,NoHouse
Building_200,Building_202
Building_201,Building_200
Building_202,Building_201
TaskBuilding_55,Building_202
Building_205,TaskBuilding_55
Building_203,Building_205
Building_205,Building_203
Building_203,Building_205
Building_205,Building_203
Building_203,Building_205
Building_205,Building_203
NoHouse,Building_205
Phone,NoHouse
NoHouse,Phone
Building_205,NoHouse
NoHouse,Building_205
Building_205,NoHouse
NoHouse,Building_205
Building_195,NoHouse
NoHouse,Building_195
Building_188,NoHouse
NoHouse,Building_188
Building_189,NoHouse
NoHouse,Building_189
