Edge1,Edge2
TaskBuilding_19,Building_186
Building_94,TaskBuilding_19
TaskBuilding_19,Building_94
Building_91,TaskBuilding_19
TaskBuilding_19,Building_91
Building_92,TaskBuilding_19
Building_176,Building_92
Building_101,Building_176
Building_176,Building_101
TaskBuilding_38,Building_176
Building_93,TaskBuilding_38
Building_176,Building_93
TaskBuilding_34,Building_176
Building_103,TaskBuilding_34
Building_92,Building_103
TaskBuilding_29,Building_92
TaskBuilding_27,TaskBuilding_29
TaskBuilding_23,TaskBuilding_27
Building_102,TaskBuilding_23
Building_97,Building_102
Building_158,Building_97
NoHit,Building_158
TaskBuilding_18,NoHit
Building_94,TaskBuilding_18
TaskBuilding_27,Building_94
Building_101,TaskBuilding_27
TaskBuilding_19,Building_101
TaskBuilding_23,TaskBuilding_19
Building_97,TaskBuilding_23
Building_94,Building_97
TaskBuilding_23,Building_94
TaskBuilding_18,TaskBuilding_23
Building_94,TaskBuilding_18
TaskBuilding_18,Building_94
Building_96,TaskBuilding_18
TaskBuilding_18,Building_96
Building_96,TaskBuilding_18
TaskBuilding_18,Building_96
Building_96,TaskBuilding_18
Building_91,Building_96
Building_94,Building_91
House_10,Building_94
Building_74,House_10
Building_96,Building_74
Building_95,Building_96
TaskBuilding_14,Building_95
Building_74,TaskBuilding_14
House_10,Building_74
Building_91,House_10
TaskBuilding_18,Building_91
Building_96,TaskBuilding_18
Building_104,Building_96
Building_96,Building_104
Building_74,Building_96
TaskBuilding_13,Building_74
Building_90,TaskBuilding_13
Building_74,Building_90
House_10,Building_74
Building_75,House_10
Building_74,Building_75
Building_71,Building_74
Building_81,Building_71
Building_89,Building_81
House_10,Building_89
Building_74,House_10
House_10,Building_74
Building_72,House_10
Building_73,Building_72
Building_82,Building_73
House_10,Building_82
Garage_86,House_10
Building_71,Garage_86
Garage_86,Building_71
Building_61,Garage_86
Building_64,Building_61
Building_69,Building_64
Building_81,Building_69
Building_66,Building_81
TaskBuilding_11,Building_66
Church-TaskBuilding_16,TaskBuilding_11
Building_84,Church-TaskBuilding_16
TaskBuilding_13,Building_84
Building_84,TaskBuilding_13
TaskBuilding_15,Building_84
Building_76,TaskBuilding_15
Building_82,Building_76
Building_84,Building_82
TaskBuilding_15,Building_84
Building_84,TaskBuilding_15
Building_96,Building_84
Building_91,Building_96
TaskBuilding_14,Building_91
Building_105,TaskBuilding_14
Building_104,Building_105
Building_105,Building_104
Building_86,Building_105
Building_96,Building_86
Building_104,Building_96
Building_105,Building_104
Building_110,Building_105
Building_113,Building_110
Building_96,Building_113
TaskBuilding_14,Building_96
Building_96,TaskBuilding_14
TaskBuilding_23,Building_96
Building_104,TaskBuilding_23
Building_113,Building_104
TaskBuilding_17,Building_113
TaskBuilding_14,TaskBuilding_17
Building_74,TaskBuilding_14
TaskBuilding_14,Building_74
Building_91,TaskBuilding_14
Building_94,Building_91
TaskBuilding_18,Building_94
Building_94,TaskBuilding_18
TaskBuilding_18,Building_94
Building_91,TaskBuilding_18
Building_94,Building_91
TaskBuilding_23,Building_94
Building_94,TaskBuilding_23
Building_103,Building_94
Building_101,Building_103
TaskBuilding_27,Building_101
TaskBuilding_19,TaskBuilding_27
Building_101,TaskBuilding_19
Building_103,Building_101
Building_92,Building_103
TaskBuilding_27,Building_92
Building_97,TaskBuilding_27
Building_101,Building_97
Building_158,Building_101
Building_92,Building_158
Building_159,Building_92
Building_158,Building_159
TaskBuilding_35,Building_158
Building_157,TaskBuilding_35
Building_102,Building_157
Building_176,Building_102
TaskBuilding_34,Building_176
Building_158,TaskBuilding_34
Building_148,Building_158
Building_100,Building_148
TaskBuilding_30,Building_100
TaskBuilding_27,TaskBuilding_30
TaskBuilding_30,TaskBuilding_27
Building_98,TaskBuilding_30
Building_149,Building_98
Building_157,Building_149
Building_158,Building_157
TaskBuilding_46,Building_158
Building_182,TaskBuilding_46
Building_183,Building_182
Building_180,Building_183
Building_186,TaskBuilding_19
