Edge1,Edge2
NoHouse,NoHouse
Phone,NoHouse
NoHouse,Phone
Building_211,NoHouse
Building_212,Building_211
Building_214,Building_212
Building_213,Building_214
Building_214,Building_213
NoHouse,Building_214
Building_236,NoHouse
Building_231,Building_236
Building_226,Building_231
NoHouse,Building_226
Building_231,NoHouse
NoHouse,Building_231
Building_154,NoHouse
Building_229,Building_154
Building_220,Building_229
NoHouse,Building_220
Building_234,NoHouse
Building_235,Building_234
TaskBuilding_48,Building_235
Building_233,TaskBuilding_48
NoHouse,Building_233
TaskBuilding_45,NoHouse
Building_226,TaskBuilding_45
Building_223,Building_226
Building_226,Building_223
Building_231,Building_226
NoHouse,Building_231
Building_233,NoHouse
Building_140,Building_233
NoHouse,Building_140
TaskBuilding_37,NoHouse
Building_231,TaskBuilding_37
TaskBuilding_37,Building_231
Building_231,TaskBuilding_37
Garage_224,Building_231
Building_231,Garage_224
Building_230,Building_231
Building_233,Building_230
TaskBuilding_36,Building_233
Building_229,TaskBuilding_36
NoHouse,Building_229
Building_229,NoHouse
Building_231,Building_229
TaskBuilding_37,Building_231
Building_124,TaskBuilding_37
TaskBuilding_37,Building_124
Building_226,TaskBuilding_37
Building_227,Building_226
Building_229,Building_227
NoHouse,Building_229
Building_229,NoHouse
Building_227,Building_229
NoHouse,Building_227
TaskBuilding_32,NoHouse
NoHouse,TaskBuilding_32
Building_229,NoHouse
Building_124,Building_229
TaskBuilding_4,Building_124
NoHouse,TaskBuilding_4
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
Building_124,NoHouse
NoHouse,Building_124
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
Building_143,NoHouse
NoHouse,Building_143
Building_123,NoHouse
NoHouse,Building_123
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
TaskBuilding_4,NoHouse
Phone,TaskBuilding_4
TaskBuilding_4,Phone
NoHouse,NoHouse
