Subject,Building_100,Building_101,Building_102,Building_103,Building_104,Building_105,Building_106,Building_107,Building_108,Building_109,Building_110,Building_111,Building_112,Building_113,Building_114,Building_117,Building_118,Building_119,Building_120,Building_121,Building_122,Building_123,Building_124,Building_125,Building_126,Building_127,Building_128,Building_129,Building_130,Building_131,Building_132,Building_133,Building_134,Building_135,Building_136,Building_137,Building_138,Building_139,Building_140,Building_141,Building_142,Building_143,Building_144,Building_145,Building_146,Building_147,Building_148,Building_149,Building_150,Building_151,Building_152,Building_153,Building_154,Building_155,Building_156,Building_157,Building_158,Building_159,Building_160,Building_161,Building_162,Building_163,Building_164,Building_165,Building_166,Building_167,Building_168,Building_169,Building_170,Building_171,Building_172,Building_173,Building_174,Building_175,Building_176,Building_177,Building_178,Building_179,Building_180,Building_181,Building_182,Building_183,Building_184,Building_185,Building_186,Building_187,Building_188,Building_189,Building_190,Building_191,Building_192,Building_193,Building_194,Building_195,Building_196,Building_197,Building_198,Building_199,Building_200,Building_201,Building_202,Building_203,Building_204,Building_205,Building_206,Building_207,Building_208,Building_209,Building_210,Building_211,Building_212,Building_213,Building_214,Building_215,Building_216,Building_217,Building_218,Building_219,Building_220,Building_221,Building_222,Building_223,Building_224,Building_225,Building_226,Building_227,Building_228,Building_229,Building_230,Building_231,Building_232,Building_233,Building_234,Building_235,Building_236,Building_57,Building_58,Building_59,Building_60,Building_61,Building_62,Building_63,Building_64,Building_65,Building_66,Building_67,Building_68,Building_69,Building_70,Building_71,Building_72,Building_73,Building_74,Building_75,Building_76,Building_77,Building_78,Building_79,Building_80,Building_81,Building_82,Building_83,Building_84,Building_85,Building_86,Building_87,Building_88,Building_89,Building_90,Building_91,Building_92,Building_93,Building_94,Building_95,Building_96,Building_97,Building_98,Building_99,Building_combined_115_116,Castle-TaskBuilding_56,Church-TaskBuilding_16,Garage_185,Garage_224,Garage_235,Garage_86,Garage_98,HighSilo-TaskBuilding_49,House_10,House_49,TaskBuilding_1,TaskBuilding_11,TaskBuilding_12,TaskBuilding_13,TaskBuilding_14,TaskBuilding_15,TaskBuilding_17,TaskBuilding_18,TaskBuilding_19,TaskBuilding_2,TaskBuilding_20,TaskBuilding_21,TaskBuilding_22,TaskBuilding_23,TaskBuilding_24,TaskBuilding_25,TaskBuilding_26,TaskBuilding_27,TaskBuilding_28,TaskBuilding_29,TaskBuilding_3,TaskBuilding_30,TaskBuilding_31,TaskBuilding_32,TaskBuilding_33,TaskBuilding_34,TaskBuilding_35,TaskBuilding_36,TaskBuilding_37,TaskBuilding_38,TaskBuilding_39,TaskBuilding_4,TaskBuilding_40,TaskBuilding_41,TaskBuilding_42,TaskBuilding_43,TaskBuilding_44,TaskBuilding_45,TaskBuilding_46,TaskBuilding_47,TaskBuilding_48,TaskBuilding_5,TaskBuilding_50,TaskBuilding_51,TaskBuilding_52,TaskBuilding_53,TaskBuilding_54,TaskBuilding_55,TaskBuilding_6,TaskBuilding_7,TaskBuilding_8,TaskBuilding_9,Windmill-TaskBuilding_10_1,crane_1,crane_2,Mean,STD
1004,7,7,4,6,13,,,2,5,7,6,2,,6,4,4,1,3,2,3,3,4,4,5,3,3,0,,1,6,0,0,2,2,0,12,10,9,2,4,5,3,4,9,8,9,8,4,6,4,12,1,14,4,,8,9,6,6,6,4,5,8,4,7,6,3,4,3,7,4,6,2,1,16,,3,,4,,2,3,1,1,2,4,5,3,,,,0,3,2,2,2,5,,3,1,3,1,,2,1,1,1,3,7,4,7,4,5,0,,,,0,0,,,2,0,2,4,2,6,7,9,6,12,3,,0,1,3,2,3,5,3,2,0,4,1,2,5,0,2,,3,6,4,7,3,,1,0,2,6,,1,2,3,2,1,2,4,3,4,12,4,0,8,,8,11,11,4,1,,7,3,,4,,1,4,8,3,9,3,3,4,12,4,3,7,2,1,6,3,1,5,5,4,10,4,3,1,2,9,5,4,2,6,15,3,9,2,7,3,9,2,9,1,14,4,6,3,2,9,6,1,1,0,,1,5,1,2,5,1,1,,4.222222222222222,3.2388149809181987
1008,2,3,2,3,3,,,0,3,2,5,,,4,5,2,0,,,,1,2,1,1,2,0,1,1,1,3,2,0,,1,1,4,6,5,1,3,5,2,,1,,5,0,,4,0,4,1,6,2,,3,2,1,1,2,0,1,2,1,3,1,1,,5,2,,,1,0,2,,1,,,,,2,,,1,,,,,,2,,1,4,,,1,4,1,,0,,1,,,2,4,2,3,2,2,1,2,6,0,,,,3,,,,0,0,3,,6,8,7,3,2,2,,1,4,,,,,,,0,0,,,3,1,,2,,,,1,3,,0,,2,4,,,4,1,,,1,1,1,1,2,0,0,3,,2,3,3,1,6,,2,,0,3,,,1,3,0,4,2,0,2,7,2,3,4,3,,0,0,4,2,2,3,,3,2,1,,1,1,2,1,3,7,,5,,0,2,3,2,4,3,0,2,3,,,1,1,0,1,0,,1,0,1,1,1,1,2,,2.0941176470588236,1.7036232145293129
1010,3,2,2,0,1,,1,2,3,1,3,,,1,1,1,,,,,2,3,3,2,,2,2,,1,1,1,3,0,0,1,3,7,11,2,3,5,5,,3,2,3,3,1,4,1,7,,10,1,,2,5,5,6,6,7,11,5,2,8,2,4,3,3,13,9,4,3,4,14,5,4,0,6,1,1,3,2,4,5,9,3,2,,,4,,8,4,,2,15,9,6,7,11,8,2,9,2,2,4,6,12,4,12,6,17,7,1,,1,3,8,,2,3,1,11,5,,6,7,7,6,7,3,,2,6,1,4,2,1,2,,,5,,,3,1,,,1,5,0,3,2,,2,1,1,3,,,7,,2,,2,2,0,0,2,3,1,3,,3,6,5,1,0,8,1,1,1,2,,,7,1,2,4,3,1,3,4,4,0,2,2,,2,5,1,3,1,1,7,4,3,0,,3,4,,2,2,4,1,9,2,3,3,7,6,3,,4,4,12,6,7,3,12,3,8,1,6,6,5,4,3,2,5,2,1,3.883495145631068,3.1585763105760827
1011,4,4,2,5,2,,,1,2,1,3,,,3,3,1,1,4,2,5,1,4,6,4,2,1,,1,1,3,2,2,3,6,2,5,6,8,2,6,5,8,2,3,3,5,3,,2,1,3,,11,2,3,3,,2,,,1,2,1,,2,,3,2,3,3,,2,2,,5,2,1,0,4,5,4,6,1,2,2,3,5,2,,,,,5,5,1,5,5,1,3,7,4,6,1,2,3,2,5,4,5,3,10,7,7,1,0,1,,,4,1,,2,,,3,3,10,7,5,,5,5,,2,3,0,,4,2,3,1,3,6,,4,6,2,3,,3,6,5,7,7,2,3,1,5,5,4,4,6,2,5,2,2,2,0,2,5,3,0,6,,3,4,7,,4,3,3,1,,2,,4,2,4,2,8,3,4,4,5,4,2,0,3,1,6,3,2,1,,4,2,7,2,3,,,5,0,3,1,7,6,2,0,0,3,2,3,3,5,6,,4,3,,0,4,6,2,1,4,4,7,1,0,4,3,1,,3.320388349514563,2.0869564359425765
1017,8,6,6,1,15,4,4,9,13,17,8,7,5,11,7,10,1,1,3,3,7,11,10,9,3,4,4,,2,10,3,4,5,9,3,6,5,10,2,6,7,9,5,13,1,6,6,2,10,,9,4,11,1,1,11,7,2,9,4,8,13,6,2,7,1,5,5,4,7,4,7,0,5,6,2,1,3,8,4,2,6,7,2,1,3,4,3,,,2,,8,1,,1,4,1,,0,2,2,3,,3,2,7,5,6,4,8,5,7,9,5,2,2,1,5,,,3,,6,9,3,16,17,8,11,7,9,1,6,3,1,2,4,3,4,3,,4,,2,5,2,6,3,4,3,3,5,2,,,,2,6,4,4,5,3,5,4,6,7,1,3,5,6,3,6,,10,12,15,1,7,3,9,0,,3,1,2,4,4,5,9,4,0,7,5,6,4,3,2,,4,8,8,1,6,11,16,9,8,1,4,6,4,6,3,5,15,0,8,0,6,6,7,4,8,5,9,5,11,7,5,5,6,1,4,2,2,2,6,2,1,5,5,3,0,5.208888888888889,3.5083969567808606
1018,3,3,4,1,4,,,1,5,4,3,,,4,,,,2,,3,0,1,2,5,1,3,3,,1,11,2,,2,5,3,6,6,6,2,,4,7,2,2,2,2,1,1,1,2,4,3,6,,,1,2,5,6,4,1,6,5,7,2,2,2,0,5,5,2,,0,0,14,8,5,4,2,3,2,4,0,5,5,2,5,2,,,5,3,3,5,3,3,6,3,0,5,4,2,4,5,4,3,7,6,4,6,4,5,5,3,,,,,8,2,2,2,2,4,0,,2,9,7,3,6,4,2,0,0,0,,,2,5,1,0,11,4,4,5,10,6,2,6,7,2,4,5,1,,,1,6,2,1,5,2,1,2,5,3,2,3,5,6,0,8,,4,3,2,,4,6,3,3,2,5,5,,8,10,6,10,9,0,2,6,5,1,5,2,1,5,4,2,0,,6,2,2,3,2,2,2,4,,5,3,12,3,4,4,2,2,9,2,0,,7,3,3,4,3,2,4,4,,0,4,5,11,3,4,5,3,2,,3.677725118483412,2.5110093854074207
1054,2,8,2,3,8,4,,1,3,1,4,,,6,0,,,0,,0,,3,3,,,,,,,,1,3,,,,5,7,13,5,,6,6,,7,3,2,,1,0,,4,5,15,,,2,3,0,,1,0,3,2,,,,1,,5,5,3,,1,2,4,,2,,0,,0,2,,,0,1,2,2,,,,,1,0,3,0,5,3,1,3,4,1,4,2,,2,5,6,8,6,8,3,11,5,1,,1,0,6,1,2,0,2,3,4,4,,8,7,7,11,7,2,3,3,,,,2,1,,,0,,2,2,,1,,3,0,1,6,4,0,,,4,0,3,3,2,5,0,3,0,3,2,1,5,4,1,5,2,7,5,2,,0,1,1,0,2,11,1,0,2,3,0,1,1,,4,5,1,1,3,8,,0,,,6,2,,1,5,,0,0,3,1,2,2,1,2,7,6,0,5,2,1,2,,4,9,4,1,4,10,,5,,1,0,2,1,1,2,3,1,1,0,,3.0,2.7612152020922225
1057,6,6,4,3,2,3,4,5,5,7,8,1,2,11,10,5,2,5,3,4,10,4,5,8,2,4,5,1,3,16,6,2,3,5,1,5,12,10,3,6,11,3,3,14,4,11,2,7,14,7,15,7,13,8,5,11,5,8,9,10,8,9,9,6,13,2,5,5,14,12,2,4,4,2,16,4,6,1,8,3,2,6,3,4,3,2,5,2,,,7,1,3,7,1,6,9,3,1,3,4,5,7,4,4,1,6,3,11,14,9,3,6,6,7,,1,1,8,3,2,3,4,4,2,0,10,8,11,10,10,5,,2,6,,0,,1,0,,1,2,,,3,2,,,2,4,2,3,4,,,0,1,2,,,6,3,3,8,5,7,2,2,6,10,4,8,1,9,7,11,1,8,5,10,0,3,7,,0,4,3,7,9,4,,3,8,2,10,5,7,0,2,7,5,3,4,4,8,6,4,6,3,5,7,3,7,5,11,5,11,1,10,4,11,8,6,5,16,4,11,4,4,3,8,2,6,0,2,4,6,4,4,2,6,10,3,5.3744493392070485,3.5556086855325515
1058,4,2,2,,2,,2,4,3,9,2,,2,4,4,5,,2,2,2,7,7,6,4,6,3,3,,3,7,,4,5,2,2,4,4,11,3,3,5,1,2,5,,4,,,1,,6,3,13,2,2,7,4,2,5,2,8,3,4,4,10,1,5,,3,8,3,2,2,3,2,,2,0,2,,3,4,1,3,2,3,4,7,,,1,0,6,3,1,3,7,4,,2,4,3,3,6,7,2,3,7,6,9,9,4,13,6,0,,,0,4,1,4,2,,3,10,3,10,13,5,12,3,8,3,3,3,1,,3,1,2,,3,1,2,1,,0,,,3,2,2,4,5,,,3,4,3,,5,2,,3,5,1,3,1,3,2,1,0,4,,3,4,4,2,4,,6,,1,2,1,,9,5,0,7,2,0,2,5,1,5,0,2,,4,7,3,4,5,4,3,1,6,0,8,2,3,4,,3,6,3,6,2,3,3,3,3,5,3,7,3,4,1,7,,6,3,1,0,3,5,3,3,2,3,6,2,0,3.6937799043062203,2.563052861443899
1068,5,5,1,4,2,,3,3,7,12,2,,2,3,3,2,3,,,,5,3,3,2,2,2,,,0,1,1,2,,4,2,5,6,11,2,6,5,2,0,7,,11,6,5,8,2,4,2,11,3,0,9,5,2,4,4,6,12,4,10,16,2,6,12,9,11,3,,4,1,8,9,6,4,5,,,3,2,8,3,6,6,5,,,1,1,6,4,,3,4,3,3,3,10,4,,6,2,1,2,3,4,4,7,7,14,3,2,,2,1,7,1,6,5,2,7,3,4,3,12,3,6,4,2,,3,6,,,,2,2,2,,,0,,1,,0,,1,2,5,5,2,,1,,1,5,,,9,1,,6,6,9,1,3,5,3,0,9,,5,14,17,4,4,5,3,1,,2,,1,13,2,6,7,,1,0,7,3,1,2,2,3,0,,6,1,2,1,5,5,5,2,2,2,3,3,2,1,20,3,3,1,3,1,9,5,4,8,6,2,8,3,2,6,2,5,3,2,5,2,6,2,,3,8,1,0,4.280193236714976,3.3945621793778904
