SubjectID,Total Rows Combined,Removed Body Hits,Removed Graffiti Hits,Replaced NoHouse Hits,DataLoss BitMask,DataLoss NoHits,DataLoss Combined,Condensed Size,Removed rows,Removed rows (%)
1004,291083,0,5197,21874,0.05612832078822879,0.005269974543343307,0.0613982953315721,20011.0,516.0,0.02513762361767428
1005,230693,0,7214,36136,0.05895714217596546,0.004070344570489785,0.06302748674645525,13590.0,368.0,0.026364808711849836
1008,114702,0,8563,44766,0.15381597530993354,0.022745898066293527,0.17656187337622709,7436.0,216.0,0.028227914270778882
1010,193778,0,10937,60005,0.07973041315319593,0.024270040974723645,0.10400045412791957,14768.0,1226.0,0.0766537451544329
1011,182861,0,13150,72755,0.03755311411399916,0.006152213976736428,0.04370532809073559,12148.0,454.0,0.03602602761466434
1013,182308,0,15856,88918,0.036196985321543765,0.009099984641376131,0.04529696996291989,14214.0,466.0,0.03174386920980926
1017,303949,0,20207,112334,0.01995071541607309,0.004872527956992785,0.024823243373065875,15758.0,454.0,0.028003947693066866
1018,215501,0,22524,131099,0.06510874659514343,0.004993016273706387,0.07010176286884981,13388.0,370.0,0.026893443814507922
1019,165193,0,24550,143228,0.08111723862391264,0.00570242080475565,0.08681965942866829,12365.0,424.0,0.0331534912815701
1021,212536,0,27337,157402,0.02304080249934129,0.003933451274137086,0.026974253773478372,12624.0,342.0,0.026376677464136973
1022,324130,0,30292,181515,0.034575633233579116,0.003791688520038257,0.03836732175361738,18063.0,390.0,0.021134774833360428
1023,131828,0,32046,192090,0.03889158600600783,0.003891434293169888,0.042783020299177715,8163.0,144.0,0.01733477789815818
1054,184726,0,34035,204935,0.03920401026385025,0.006907527906196204,0.04611153817004645,11532.0,316.0,0.026671168129642132
1055,325752,0,39279,233294,0.0621300866917164,0.009949286573835309,0.07207937326555171,26286.0,1062.0,0.0388328214129004
1056,266196,0,41989,251720,0.0487573066462306,0.005578596222332417,0.05433590286856301,17572.0,372.0,0.020731163620151583
1057,327070,0,47627,272749,0.01628703335677378,0.00851499678967805,0.024802030146451836,16485.0,654.0,0.0381585856817784
1058,188796,0,50249,288114,0.08057374096908833,0.011626305642068688,0.09220004661115702,14492.0,692.0,0.045574288724973655
1068,187918,0,52865,302939,0.07190902414883088,0.01374003554741962,0.08564905969625049,11934.0,798.0,0.06267672007540057
1069,303234,0,55985,322045,0.045793017933345205,0.0018005896436415442,0.047593607576986746,18167.0,220.0,0.011964975254255723
1072,205180,0,58829,340726,0.026981187250219318,0.021454332780972803,0.04843552003119213,15606.0,1130.0,0.06751912045889101
1073,236479,0,61987,357946,0.04075203295007168,0.013882839491033031,0.05463487244110471,17761.0,636.0,0.034570853943577756
1074,188491,0,64761,373628,0.010907682594924957,0.003809200439278268,0.014716883034203225,11937.0,278.0,0.02275890298812935
1075,134093,0,67198,384395,0.03194797640443573,0.00753208594035483,0.03948006234479056,8493.0,268.0,0.03059011528364342
1077,207919,0,71418,400628,0.03405172206484256,0.009965419225756184,0.04401714129059875,14977.0,744.0,0.047325233763755484
1079,263713,0,73531,416028,0.02939559293626025,0.0010314243135529913,0.030427017249813244,11885.0,148.0,0.012299509681708634
1080,222950,0,77200,431089,0.09445615608880917,0.006795245570755775,0.10125140165956494,12654.0,448.0,0.034193252938482674
