Edge1,Edge2
Hand,NoHouse
TaskBuilding_6,Hand
Building_163,TaskBuilding_6
NoHouse,Building_163
Building_163,NoHouse
NoHouse,Building_163
Building_163,NoHouse
TaskBuilding_35,Building_163
NoHouse,TaskBuilding_35
Phone,NoHouse
NoHouse,Phone
Building_178,NoHouse
NoHouse,Building_178
Building_163,NoHouse
Building_165,Building_163
NoHouse,Building_165
Building_162,NoHouse
Building_164,Building_162
NoHouse,Building_164
Building_167,NoHouse
NoHouse,Building_167
Phone,NoHouse
Building_167,Phone
Phone,Building_167
NoHouse,Phone
TaskBuilding_39,NoHouse
NoHouse,TaskBuilding_39
Phone,NoHouse
crane_1,Phone
NoHouse,crane_1
Phone,NoHouse
Building_169,Phone
NoHouse,Building_169
TaskBuilding_42,NoHouse
NoHouse,TaskBuilding_42
Hand,NoHouse
crane_1,Hand
TaskBuilding_39,crane_1
NoHouse,TaskBuilding_39
TaskBuilding_39,NoHouse
Building_141,TaskBuilding_39
NoHouse,Building_141
TaskBuilding_39,NoHouse
Building_153,TaskBuilding_39
NoHouse,Building_153
Building_153,NoHouse
NoHouse,Building_153
Building_140,NoHouse
NoHouse,Building_140
Phone,NoHouse
Building_154,Phone
Building_139,Building_154
Building_142,Building_139
NoHouse,Building_142
Building_140,NoHouse
NoHouse,Building_140
Building_152,NoHouse
TaskBuilding_39,Building_152
NoHouse,TaskBuilding_39
Building_147,NoHouse
NoHouse,Building_147
TaskBuilding_39,NoHouse
NoHouse,Hand
