Edge1,Edge2
TaskBuilding_53,TaskBuilding_4
Building_216,TaskBuilding_53
crane_2,Building_216
Building_210,crane_2
Building_211,Building_210
Building_210,Building_211
Building_214,Building_210
Building_154,Building_214
Building_155,Building_154
Building_215,Building_155
TaskBuilding_48,Building_215
Building_220,TaskBuilding_48
Building_219,Building_220
Building_220,Building_219
Building_235,Building_220
TaskBuilding_7,Building_235
Building_233,TaskBuilding_7
TaskBuilding_45,Building_233
Building_233,TaskBuilding_45
Building_226,Building_233
TaskBuilding_45,Building_226
Building_230,TaskBuilding_45
TaskBuilding_36,Building_230
Building_139,TaskBuilding_36
TaskBuilding_37,Building_139
Building_230,TaskBuilding_37
Building_137,Building_230
Building_138,Building_137
TaskBuilding_37,Building_138
Building_229,TaskBuilding_37
NoHit,Building_229
Building_124,NoHit
Building_228,Building_124
Building_229,Building_228
Building_133,Building_229
Building_229,Building_133
Building_124,Building_229
Building_133,Building_124
TaskBuilding_4,Building_133
Building_133,TaskBuilding_4
TaskBuilding_4,Building_133
Building_226,TaskBuilding_4
TaskBuilding_37,Building_226
Building_124,TaskBuilding_37
TaskBuilding_4,TaskBuilding_53
