Edge1,Edge2
TaskBuilding_53,Windmill-TaskBuilding_10_1
Building_216,TaskBuilding_53
crane_2,Building_216
Building_210,crane_2
Building_211,Building_210
Building_210,Building_211
Building_214,Building_210
Building_154,Building_214
Building_155,Building_154
Building_215,Building_155
TaskBuilding_48,Building_215
Building_220,TaskBuilding_48
Building_219,Building_220
Building_220,Building_219
Building_235,Building_220
TaskBuilding_7,Building_235
Building_233,TaskBuilding_7
TaskBuilding_45,Building_233
Building_233,TaskBuilding_45
Building_226,Building_233
TaskBuilding_45,Building_226
Building_230,TaskBuilding_45
TaskBuilding_36,Building_230
Building_139,TaskBuilding_36
TaskBuilding_37,Building_139
Building_230,TaskBuilding_37
Building_137,Building_230
Building_138,Building_137
TaskBuilding_37,Building_138
Building_229,TaskBuilding_37
NoHit,Building_229
Building_124,NoHit
Building_228,Building_124
Building_229,Building_228
Building_133,Building_229
Building_229,Building_133
Building_124,Building_229
Building_133,Building_124
TaskBuilding_4,Building_133
Building_133,TaskBuilding_4
TaskBuilding_4,Building_133
Building_226,TaskBuilding_4
TaskBuilding_37,Building_226
Building_124,TaskBuilding_37
TaskBuilding_4,Building_124
Building_130,TaskBuilding_4
Church-TaskBuilding_16,Building_130
TaskBuilding_21,Church-TaskBuilding_16
Building_122,TaskBuilding_21
Building_125,Building_122
TaskBuilding_21,Building_125
Building_121,TaskBuilding_21
Church-TaskBuilding_16,Building_121
Building_125,Church-TaskBuilding_16
Building_121,Building_125
TaskBuilding_1,Building_121
Building_119,TaskBuilding_1
Building_120,Building_119
TaskBuilding_20,Building_120
Church-TaskBuilding_16,TaskBuilding_20
TaskBuilding_20,Church-TaskBuilding_16
TaskBuilding_15,TaskBuilding_20
Church-TaskBuilding_16,TaskBuilding_15
Building_87,Church-TaskBuilding_16
Building_88,Building_87
TaskBuilding_1,Building_88
Building_88,TaskBuilding_1
TaskBuilding_1,Building_88
NoHit,TaskBuilding_1
Building_83,NoHit
Building_67,Building_83
Building_69,Building_67
Building_64,Building_69
Building_66,Building_64
TaskBuilding_12,Building_66
Building_64,TaskBuilding_12
TaskBuilding_9,Building_64
Building_64,TaskBuilding_9
NoHit,Building_64
Building_57,NoHit
NoHit,Building_57
TaskBuilding_12,NoHit
Church-TaskBuilding_16,TaskBuilding_12
TaskBuilding_1,Church-TaskBuilding_16
TaskBuilding_11,TaskBuilding_1
TaskBuilding_1,TaskBuilding_11
TaskBuilding_13,TaskBuilding_1
Building_66,TaskBuilding_13
Building_70,Building_66
TaskBuilding_11,Building_70
Church-TaskBuilding_16,TaskBuilding_11
TaskBuilding_1,Church-TaskBuilding_16
Building_83,TaskBuilding_1
TaskBuilding_11,Building_83
TaskBuilding_1,TaskBuilding_11
Building_83,TaskBuilding_1
Building_131,Building_83
Building_76,Building_131
TaskBuilding_1,Building_76
Building_113,TaskBuilding_1
Building_88,Building_113
Building_87,Building_88
Building_88,Building_87
Building_87,Building_88
TaskBuilding_3,Building_87
Building_87,TaskBuilding_3
Building_94,Building_87
Building_96,Building_94
Building_97,Building_96
Building_96,Building_97
TaskBuilding_14,Building_96
Building_96,TaskBuilding_14
Building_90,Building_96
TaskBuilding_19,Building_90
Building_94,TaskBuilding_19
Building_91,Building_94
Building_94,Building_91
Building_90,Building_94
Building_94,Building_90
Building_92,Building_94
Building_176,Building_92
TaskBuilding_19,Building_176
Building_94,TaskBuilding_19
Building_103,Building_94
Building_176,Building_103
HighSilo-TaskBuilding_49,Building_176
Building_176,HighSilo-TaskBuilding_49
House_49,Building_176
Building_177,House_49
Building_180,Building_177
TaskBuilding_6,Building_180
Building_180,TaskBuilding_6
TaskBuilding_38,Building_180
Building_176,TaskBuilding_38
TaskBuilding_40,Building_176
Building_163,TaskBuilding_40
Building_181,Building_163
TaskBuilding_6,Building_181
HighSilo-TaskBuilding_49,TaskBuilding_6
Building_177,HighSilo-TaskBuilding_49
Building_163,Building_177
Building_176,Building_163
TaskBuilding_40,Building_176
Building_166,TaskBuilding_40
Building_180,Building_166
Building_181,Building_180
