Edge1,Edge2
Windmill-TaskBuilding_10_1,TaskBuilding_53
TaskBuilding_14,Windmill-TaskBuilding_10_1
Building_97,TaskBuilding_14
Building_145,Building_97
Building_104,Building_145
TaskBuilding_14,Building_104
Building_154,TaskBuilding_14
Building_104,Building_154
NoHit,Building_104
Building_154,NoHit
Building_97,Building_154
TaskBuilding_39,Building_97
Building_104,TaskBuilding_39
Building_97,Building_104
TaskBuilding_39,Building_97
TaskBuilding_26,TaskBuilding_39
Building_104,TaskBuilding_26
Building_110,Building_104
TaskBuilding_17,Building_110
Building_97,TaskBuilding_17
TaskBuilding_26,Building_97
Building_145,TaskBuilding_26
Building_108,Building_145
crane_2,Building_108
NoHit,crane_2
TaskBuilding_26,NoHit
Building_97,TaskBuilding_26
Building_107,Building_97
Building_98,Building_107
TaskBuilding_26,Building_98
Building_98,TaskBuilding_26
Building_150,Building_98
TaskBuilding_31,Building_150
crane_1,TaskBuilding_31
NoHit,crane_1
TaskBuilding_30,NoHit
Garage_98,TaskBuilding_30
Building_157,Garage_98
Building_146,Building_157
Building_148,Building_146
Building_146,Building_148
Building_150,Building_146
TaskBuilding_31,Building_150
Building_145,TaskBuilding_31
Building_137,Building_145
Building_148,Building_137
Building_150,Building_148
TaskBuilding_31,Building_150
Building_157,TaskBuilding_31
Building_162,Building_157
Building_93,Building_162
Building_100,Building_93
Building_98,Building_100
Building_100,Building_98
Building_149,Building_100
TaskBuilding_35,Building_149
Building_166,TaskBuilding_35
TaskBuilding_35,Building_166
Building_163,TaskBuilding_35
Building_167,Building_163
Building_166,Building_167
Building_163,Building_166
Building_162,Building_163
HighSilo-TaskBuilding_49,Building_162
NoHit,HighSilo-TaskBuilding_49
TaskBuilding_35,NoHit
NoHit,TaskBuilding_35
TaskBuilding_35,NoHit
Building_163,TaskBuilding_35
TaskBuilding_35,Building_163
Building_170,TaskBuilding_35
TaskBuilding_35,Building_170
TaskBuilding_41,TaskBuilding_35
Building_164,TaskBuilding_41
TaskBuilding_46,Building_164
Building_164,TaskBuilding_46
Building_167,Building_164
Building_155,Building_167
Building_165,Building_155
Building_171,Building_165
Building_170,Building_171
Building_167,Building_170
TaskBuilding_42,Building_167
Building_154,TaskBuilding_42
crane_1,Building_154
NoHit,crane_1
Building_172,NoHit
Building_171,Building_172
TaskBuilding_41,Building_171
Building_170,TaskBuilding_41
Building_165,Building_170
Building_163,Building_165
Building_170,Building_163
TaskBuilding_41,Building_170
Building_170,TaskBuilding_41
Building_183,Building_170
Building_170,Building_183
TaskBuilding_41,Building_170
Building_171,TaskBuilding_41
Building_214,Building_171
Building_198,Building_214
Building_172,Building_198
Building_214,Building_172
Building_172,Building_214
Building_175,Building_172
Building_172,Building_175
Building_174,Building_172
Building_173,Building_174
crane_1,Building_173
Building_173,crane_1
Building_145,Building_173
Building_168,Building_145
Building_173,Building_168
Building_169,Building_173
NoHit,Building_169
Building_168,NoHit
Building_141,Building_168
Building_152,Building_141
Building_141,Building_152
crane_1,Building_141
Building_147,crane_1
Building_155,Building_147
Building_156,Building_155
Building_236,Building_156
TaskBuilding_48,Building_236
Building_220,TaskBuilding_48
TaskBuilding_43,Building_220
Building_236,TaskBuilding_43
Building_235,Building_236
Building_236,Building_235
Building_235,Building_236
Building_138,Building_235
Building_235,Building_138
Building_154,Building_235
Building_139,Building_154
Building_228,Building_139
Building_230,Building_228
Building_139,Building_230
Building_138,Building_139
Building_139,Building_138
Building_229,Building_139
TaskBuilding_44,Building_229
Building_232,TaskBuilding_44
Building_230,Building_232
Building_139,Building_230
Building_142,Building_139
Building_140,Building_142
Building_142,Building_140
Building_141,Building_142
Building_147,Building_141
Building_152,Building_147
TaskBuilding_39,Building_152
Building_152,TaskBuilding_39
Building_147,Building_152
TaskBuilding_39,Building_147
Building_232,TaskBuilding_39
Building_222,Building_232
TaskBuilding_44,Building_222
TaskBuilding_45,TaskBuilding_44
TaskBuilding_7,TaskBuilding_45
Building_221,TaskBuilding_7
TaskBuilding_7,Building_221
Building_222,TaskBuilding_7
TaskBuilding_45,Building_222
Building_222,TaskBuilding_45
TaskBuilding_7,Building_222
Garage_235,TaskBuilding_7
TaskBuilding_7,Garage_235
Building_222,TaskBuilding_7
TaskBuilding_7,Building_222
Building_220,TaskBuilding_7
TaskBuilding_7,Building_220
Building_220,TaskBuilding_7
TaskBuilding_7,Building_220
TaskBuilding_48,TaskBuilding_7
Building_214,TaskBuilding_48
Building_211,Building_214
Building_214,Building_211
TaskBuilding_50,Building_214
Building_210,TaskBuilding_50
Building_211,Building_210
Building_207,Building_211
Building_210,Building_207
Building_211,Building_210
Building_215,Building_211
Building_211,Building_215
Building_213,Building_211
Building_212,Building_213
Building_211,Building_212
NoHit,Building_211
Building_211,NoHit
TaskBuilding_8,Building_211
Building_210,TaskBuilding_8
Building_213,Building_210
Building_212,Building_213
Building_213,Building_212
TaskBuilding_50,Building_213
Building_199,TaskBuilding_50
TaskBuilding_55,Building_199
Building_199,TaskBuilding_55
Building_201,Building_199
Building_204,Building_201
Building_201,Building_204
Building_199,Building_201
Building_208,Building_199
Building_209,Building_208
Building_204,Building_209
Building_206,Building_204
Building_199,Building_206
Building_204,Building_199
Building_185,Building_204
Building_199,Building_185
Building_198,Building_199
Building_185,Building_198
Building_187,Building_185
Building_200,Building_187
Building_194,Building_200
Building_202,Building_194
Building_205,Building_202
TaskBuilding_55,Building_205
Building_204,TaskBuilding_55
Building_205,Building_204
Building_197,Building_205
Building_205,Building_197
Building_207,Building_205
Building_197,Building_207
Building_203,Building_197
Building_197,Building_203
Building_205,Building_197
Building_206,Building_205
Building_197,Building_206
Building_196,Building_197
Building_185,Building_196
Building_189,Building_185
HighSilo-TaskBuilding_49,Building_189
Building_185,HighSilo-TaskBuilding_49
TaskBuilding_50,Building_185
TaskBuilding_54,TaskBuilding_50
TaskBuilding_50,TaskBuilding_54
Building_171,TaskBuilding_50
TaskBuilding_50,Building_171
Building_198,TaskBuilding_50
Building_187,Building_198
Building_171,Building_187
TaskBuilding_50,Building_171
TaskBuilding_52,TaskBuilding_50
TaskBuilding_46,TaskBuilding_52
Building_186,TaskBuilding_46
Building_187,Building_186
Building_186,Building_187
Building_189,Building_186
Building_188,Building_189
Building_185,Building_188
Building_189,Building_185
Building_188,Building_189
Building_189,Building_188
Building_194,Building_189
Building_189,Building_194
Building_191,Building_189
Building_188,Building_191
Building_189,Building_188
HighSilo-TaskBuilding_49,Building_189
NoHit,HighSilo-TaskBuilding_49
Building_185,NoHit
Building_186,Building_185
House_49,Building_186
Garage_185,House_49
Building_188,Garage_185
Building_189,Building_188
Building_194,Building_189
Building_188,Building_194
Building_192,Building_188
Building_189,Building_192
Building_188,Building_189
TaskBuilding_54,Building_188
Building_205,TaskBuilding_54
Building_187,Building_205
Building_188,Building_187
Building_195,Building_188
Building_206,Building_195
Building_194,Building_206
Building_189,Building_194
Building_194,Building_189
Building_206,Building_194
Building_194,Building_206
Building_206,Building_194
Building_195,Building_206
Building_194,Building_195
Building_206,Building_194
Building_194,Building_206
Building_195,Building_194
Building_206,Building_195
Building_197,Building_206
Building_205,Building_197
Building_196,Building_205
Building_197,Building_196
Building_205,Building_197
Building_207,Building_205
Building_208,Building_207
Building_207,Building_208
Building_201,Building_207
Building_213,Building_201
Building_201,Building_213
Building_202,Building_201
Building_213,Building_202
Building_216,Building_213
Building_201,Building_216
Building_204,Building_201
Building_201,Building_204
Building_199,Building_201
Building_214,Building_199
Building_213,Building_214
crane_2,Building_213
NoHit,crane_2
Castle-TaskBuilding_56,NoHit
Building_199,Castle-TaskBuilding_56
Building_209,Building_199
Building_213,Building_209
Building_220,Building_213
Building_214,Building_220
Building_209,Building_214
Building_220,Building_209
Building_215,Building_220
Building_220,Building_215
Building_215,Building_220
Building_216,Building_215
TaskBuilding_53,Building_216
Building_214,TaskBuilding_53
Building_215,Building_214
Building_211,Building_215
Building_215,Building_211
Building_231,Building_215
Building_154,Building_231
TaskBuilding_48,Building_154
Building_226,TaskBuilding_48
Building_231,Building_226
Building_236,Building_231
Building_154,Building_236
Building_139,Building_154
Building_154,Building_139
TaskBuilding_43,Building_154
Building_154,TaskBuilding_43
Building_150,Building_154
Building_236,Building_150
Building_142,Building_236
Building_139,Building_142
Building_142,Building_139
Building_139,Building_142
Building_138,Building_139
Building_228,Building_138
Building_229,Building_228
Building_140,Building_229
Building_228,Building_140
Building_138,Building_228
Building_139,Building_138
Building_140,Building_139
Building_141,Building_140
Building_139,Building_141
Building_138,Building_139
Building_139,Building_138
Building_138,Building_139
Building_137,Building_138
Building_138,Building_137
Building_137,Building_138
TaskBuilding_4,Building_137
Building_138,TaskBuilding_4
Building_133,Building_138
Building_135,Building_133
Building_228,Building_135
Building_136,Building_228
Building_128,Building_136
Building_136,Building_128
Building_128,Building_136
Building_136,Building_128
Building_135,Building_136
Building_130,Building_135
Building_125,Building_130
Building_130,Building_125
Building_136,Building_130
Building_130,Building_136
Church-TaskBuilding_16,Building_130
Building_130,Church-TaskBuilding_16
Building_127,Building_130
Building_126,Building_127
Building_130,Building_126
Building_131,Building_130
Building_135,Building_131
Building_132,Building_135
TaskBuilding_21,Building_132
Building_123,TaskBuilding_21
Building_128,Building_123
Building_122,Building_128
TaskBuilding_1,Building_122
Building_120,TaskBuilding_1
TaskBuilding_1,Building_120
Building_121,TaskBuilding_1
TaskBuilding_20,Building_121
TaskBuilding_1,TaskBuilding_20
Building_67,TaskBuilding_1
TaskBuilding_1,Building_67
Building_67,TaskBuilding_1
TaskBuilding_1,Building_67
Building_88,TaskBuilding_1
Building_67,Building_88
Building_64,Building_67
TaskBuilding_12,Building_64
Building_67,TaskBuilding_12
TaskBuilding_1,Building_67
Building_67,TaskBuilding_1
TaskBuilding_1,Building_67
Building_67,TaskBuilding_1
Building_64,Building_67
TaskBuilding_1,Building_64
TaskBuilding_3,TaskBuilding_1
Building_87,TaskBuilding_3
TaskBuilding_1,Building_87
Building_83,TaskBuilding_1
TaskBuilding_11,Building_83
Building_67,TaskBuilding_11
TaskBuilding_1,Building_67
Building_104,TaskBuilding_1
TaskBuilding_1,Building_104
Building_88,TaskBuilding_1
TaskBuilding_23,Building_88
Building_88,TaskBuilding_23
Building_87,Building_88
TaskBuilding_23,Building_87
Building_94,TaskBuilding_23
Building_96,Building_94
Building_94,Building_96
Building_91,Building_94
TaskBuilding_19,Building_91
Building_91,TaskBuilding_19
TaskBuilding_19,Building_91
HighSilo-TaskBuilding_49,TaskBuilding_19
Building_103,HighSilo-TaskBuilding_49
Building_176,Building_103
TaskBuilding_29,Building_176
Building_92,TaskBuilding_29
Building_94,Building_92
Building_91,Building_94
Building_94,Building_91
Windmill-TaskBuilding_10_1,Building_94
Building_91,Windmill-TaskBuilding_10_1
NoHit,Building_91
Building_94,NoHit
Windmill-TaskBuilding_10_1,Building_94
Building_94,Windmill-TaskBuilding_10_1
Building_96,Building_94
Building_85,Building_96
TaskBuilding_18,Building_85
Building_96,TaskBuilding_18
TaskBuilding_13,Building_96
Building_79,TaskBuilding_13
Building_85,Building_79
Building_86,Building_85
Building_97,Building_86
Building_110,Building_97
Building_104,Building_110
Building_86,Building_104
Church-TaskBuilding_16,Building_86
TaskBuilding_1,Church-TaskBuilding_16
Building_88,TaskBuilding_1
TaskBuilding_1,Building_88
Building_88,TaskBuilding_1
TaskBuilding_1,Building_88
Church-TaskBuilding_16,TaskBuilding_1
TaskBuilding_1,Church-TaskBuilding_16
Church-TaskBuilding_16,TaskBuilding_1
NoHit,Church-TaskBuilding_16
Church-TaskBuilding_16,NoHit
TaskBuilding_1,Church-TaskBuilding_16
Building_131,TaskBuilding_1
Building_125,Building_131
Church-TaskBuilding_16,Building_125
TaskBuilding_12,Church-TaskBuilding_16
Church-TaskBuilding_16,TaskBuilding_12
NoHit,Church-TaskBuilding_16
Building_135,NoHit
Building_125,Building_135
Building_130,Building_125
Building_113,Building_130
Building_110,Building_113
Building_131,Building_110
Church-TaskBuilding_16,Building_131
Building_64,Church-TaskBuilding_16
Building_67,Building_64
NoHit,Building_67
TaskBuilding_1,NoHit
TaskBuilding_23,TaskBuilding_1
TaskBuilding_17,TaskBuilding_23
Building_131,TaskBuilding_17
Building_125,Building_131
TaskBuilding_12,Building_125
Building_67,TaskBuilding_12
Building_83,Building_67
Building_67,Building_83
TaskBuilding_11,Building_67
Building_67,TaskBuilding_11
TaskBuilding_12,Building_67
Building_67,TaskBuilding_12
Building_64,Building_67
TaskBuilding_11,Building_64
Building_64,TaskBuilding_11
Building_67,Building_64
TaskBuilding_11,Building_67
Building_64,TaskBuilding_11
Building_62,Building_64
Building_67,Building_62
TaskBuilding_11,Building_67
Building_64,TaskBuilding_11
Building_83,Building_64
Building_67,Building_83
Building_64,Building_67
TaskBuilding_11,Building_64
Building_69,TaskBuilding_11
Building_70,Building_69
TaskBuilding_13,Building_70
Building_64,TaskBuilding_13
TaskBuilding_11,Building_64
TaskBuilding_12,TaskBuilding_11
Building_64,TaskBuilding_12
Building_66,Building_64
