Edge1,Edge2
Phone,TaskBuilding_41
NoHouse,Phone
Building_232,NoHouse
TaskBuilding_44,Building_232
Building_232,TaskBuilding_44
Building_139,Building_232
NoHouse,Building_139
TaskBuilding_45,NoHouse
NoHouse,TaskBuilding_45
TaskBuilding_44,NoHouse
NoHouse,TaskBuilding_44
TaskBuilding_44,NoHouse
Building_230,TaskBuilding_44
Building_138,Building_230
Building_139,Building_138
Building_138,Building_139
NoHouse,Building_138
Building_138,NoHouse
Building_137,Building_138
NoHouse,Building_137
Building_231,NoHouse
Building_230,Building_231
TaskBuilding_37,Building_230
Building_229,TaskBuilding_37
NoHouse,Building_229
TaskBuilding_37,NoHouse
Building_229,TaskBuilding_37
Building_228,Building_229
NoHouse,Building_228
Building_228,NoHouse
Building_229,Building_228
Building_228,Building_229
NoHouse,Building_228
Building_123,NoHouse
NoHouse,Building_123
Building_227,NoHouse
TaskBuilding_32,Building_227
NoHouse,TaskBuilding_32
Building_135,NoHouse
NoHouse,Building_135
Building_135,NoHouse
NoHouse,Building_135
Building_135,NoHouse
NoHouse,Building_135
Building_136,NoHouse
NoHouse,Building_136
Building_130,NoHouse
NoHouse,Building_130
Building_130,NoHouse
NoHouse,Building_130
Building_137,NoHouse
NoHouse,Building_137
Building_137,NoHouse
NoHouse,Building_137
Building_142,NoHouse
NoHouse,Building_142
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
TaskBuilding_25,NoHouse
NoHouse,TaskBuilding_25
TaskBuilding_25,NoHouse
NoHouse,TaskBuilding_25
Building_135,NoHouse
TaskBuilding_25,Building_135
NoHouse,TaskBuilding_25
Building_135,NoHouse
NoHouse,Building_135
Building_120,NoHouse
Building_121,Building_120
NoHouse,Building_121
Building_121,NoHouse
TaskBuilding_21,Building_121
NoHouse,TaskBuilding_21
Building_119,NoHouse
TaskBuilding_20,Building_119
Building_121,TaskBuilding_20
TaskBuilding_20,Building_121
Building_119,TaskBuilding_20
NoHouse,Building_119
Building_119,NoHouse
NoHouse,Building_119
Building_118,NoHouse
TaskBuilding_20,Building_118
NoHouse,TaskBuilding_20
Hand,NoHouse
NoHouse,Hand
TaskBuilding_20,NoHouse
NoHouse,TaskBuilding_20
Building_77,NoHouse
Building_88,Building_77
Building_77,Building_88
NoHouse,Building_77
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
Building_88,NoHouse
NoHouse,Building_88
Building_87,NoHouse
NoHouse,Building_87
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
TaskBuilding_11,NoHouse
NoHouse,TaskBuilding_11
Building_83,NoHouse
NoHouse,Building_83
Building_67,NoHouse
NoHouse,Building_67
TaskBuilding_11,NoHouse
NoHouse,TaskBuilding_11
Building_67,NoHouse
NoHouse,Building_67
Building_67,NoHouse
NoHouse,Building_67
Building_67,NoHouse
NoHouse,Building_67
Building_67,NoHouse
NoHouse,Building_67
Building_64,NoHouse
TaskBuilding_11,Building_64
NoHouse,TaskBuilding_11
TaskBuilding_12,NoHouse
NoHouse,TaskBuilding_12
TaskBuilding_11,NoHouse
Building_67,TaskBuilding_11
NoHouse,Building_67
